,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,min,max,mean,med,std,label
0,0,0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,0.0,-341.1362278164487,-263.8245246189378,-290.81147751800154,-274.1764927312205,31.550814558237697,AF
1,1,1,0.7,0.7,0.7,0.7,0.0,AF,1.0,-241.0780896556067,-172.60934111202374,-217.2393760410856,-232.0950931800426,27.841340013379806,AF
2,2,2,-100.0,-100.0,-100.0,-100.0,-100.0,AF,2.0,-143.86719496284113,-113.53301300684365,-124.11921780407953,-117.62450198940294,12.32127283547606,AF
3,3,3,0.7,0.9,0.8,0.8,0.1414213562373095,AF,3.0,-178.4180960264922,-42.93903692745562,-90.175157610337,-60.99884721907723,55.055514576870216,AF
4,4,4,-100.0,-100.0,-100.0,-100.0,-100.0,AF,4.0,-751.1870891806433,318.30275781965247,-54.44658929094269,176.74115761304114,434.7386768497811,N
5,5,5,-100.0,-100.0,-100.0,-100.0,-100.0,AF,5.0,-390.2992273627858,-345.10538319375763,-374.6121963791501,-383.5996109947421,18.308660186506074,AF
6,6,6,0.7,0.7,0.7,0.7,0.0,AF,6.0,-244.917676217827,-223.4720203987141,-237.43598762608767,-242.13693353683564,8.73310992604515,AF
7,7,7,-100.0,-100.0,-100.0,-100.0,-100.0,AF,7.0,-165.00129707034176,-137.6101928041103,-147.1696914418472,-141.4097813693575,11.11700651705772,AF
8,8,8,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,8.0,-188.114939531998,-58.81671254512288,-103.88965929453389,-76.0584849657487,52.54646746040388,AF
9,9,9,0.6,0.8,0.7,0.7,0.1414213562373095,AF,9.0,-742.6761557105142,307.9443937044661,-58.21296757464869,168.54596160931442,427.03762097686325,N
10,10,10,-100.0,-100.0,-100.0,-100.0,-100.0,AF,10.0,-386.3012092704174,-348.8815658168608,-361.9884287118219,-354.2944893578533,15.349427505456353,AF
11,11,11,-100.0,-100.0,-100.0,-100.0,-100.0,AF,11.0,-139.9496235663393,-132.8552925205087,-135.3405349321054,-133.8611146243047,2.8763105955951187,AF
12,12,12,0.851,0.965,0.908,0.908,0.0806101730552664,AF,12.0,-597.8735698114674,224.01299143290527,-62.37010235439924,113.39518949013303,333.8982670109284,N
13,13,13,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,13.0,-415.8042402515622,-207.30148495138985,-279.99037589215243,-234.29277966932048,84.9314323650934,AF
14,14,14,-100.0,-100.0,-100.0,-100.0,-100.0,AF,14.0,-260.66984731314864,-182.169796063388,-233.3417655159201,-250.44501630961545,31.923392023861947,AF
15,15,15,0.7,0.7,0.7,0.7,0.0,AF,15.0,-157.3998973438006,-109.65681615487212,-126.3261116292063,-116.43998912781532,19.35803958967792,AF
16,16,16,0.8,0.8,0.8,0.8,0.0,AF,16.0,-623.287436575589,215.73359229011868,-76.68276745897545,105.57146979591091,341.15048374508206,N
17,17,17,-100.0,-100.0,-100.0,-100.0,-100.0,AF,17.0,-374.0102304217952,-222.9063931615597,-321.40766482539584,-353.9677484505855,61.424379867454974,AF
18,18,18,-100.0,-100.0,-100.0,-100.0,-100.0,AF,18.0,-181.92283769174543,-145.8784561127027,-169.36936880993505,-177.10160818496223,14.645635891655886,AF
19,19,19,-100.0,-100.0,-100.0,-100.0,-100.0,AF,19.0,-528.4486079316226,156.786466109518,-81.99715150915438,64.28914305257179,278.34999884213767,N
20,20,20,0.7,0.8,0.75,0.75,0.0707106781186548,AF,20.0,-376.6147455236649,-195.97194474779425,-258.93702033053614,-219.3527480117776,73.58401744806963,AF
21,21,21,0.6,0.8,0.7,0.7,0.1414213562373095,AF,21.0,-225.14114172514223,-193.7505885898882,-214.2155631803128,-220.98521213666032,12.758525640694025,AF
22,22,22,-100.0,-100.0,-100.0,-100.0,-100.0,AF,22.0,-329.7863086301936,-283.52474884929893,-313.73458852017933,-322.48792262830614,18.702416915988422,AF
23,23,23,-100.0,-100.0,-100.0,-100.0,-100.0,AF,23.0,-240.18822408356368,-128.03034267275032,-201.1099163720558,-225.3987239201016,45.597396992682526,AF
24,24,24,-100.0,-100.0,-100.0,-100.0,-100.0,AF,24.0,-125.2031246491596,-82.91568703318744,-97.65486335418524,-88.70503898519259,17.169026002796677,AF
25,25,25,-100.0,-100.0,-100.0,-100.0,-100.0,AF,25.0,-141.44027952998826,-39.06933068970128,-74.74943576115639,-52.62108565840082,41.61105149398389,AF
26,26,26,-100.0,-100.0,-100.0,-100.0,-100.0,AF,26.0,-746.5920670191945,343.73278246314794,-36.20353032818348,197.5966579663873,443.0206656548015,N
27,27,27,0.7,0.7,0.7,0.7,0.0,AF,27.0,-447.61666954721335,-311.3344685641136,-358.877117371037,-329.5426132103753,55.62590188550306,AF
28,28,28,0.8,1.0,0.9,0.9,0.1414213562373094,AF,28.0,-327.38306252536546,-188.7987942418137,-279.10563639183243,-309.2469635193255,56.355447513375104,AF
29,29,29,-100.0,-100.0,-100.0,-100.0,-100.0,AF,29.0,-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,N
30,30,30,-100.0,-100.0,-100.0,-100.0,-100.0,AF,30.0,-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.0098308971173,1.247674917081282,AF
31,31,31,-100.0,-100.0,-100.0,-100.0,-100.0,AF,31.0,-195.0795062774405,-154.52440969237645,-180.97224933523503,-189.87561970687625,16.522194628703122,AF
32,32,32,-100.0,-100.0,-100.0,-100.0,-100.0,AF,32.0,-200.04758039330284,-62.77606604339968,-110.68655659366148,-81.86488420415708,55.69891506138182,AF
33,33,33,-100.0,-100.0,-100.0,-100.0,-100.0,AF,33.0,-329.7863086301936,-283.52474884929893,-313.73458852017933,-322.48792262830614,18.702416915988422,AF
34,34,34,-100.0,-100.0,-100.0,-100.0,-100.0,AF,34.0,-240.18822408356368,-128.03034267275032,-201.1099163720558,-225.3987239201016,45.597396992682526,AF
35,35,35,-100.0,-100.0,-100.0,-100.0,-100.0,AF,35.0,-125.2031246491596,-82.91568703318744,-97.65486335418524,-88.70503898519259,17.169026002796677,AF
36,36,36,0.7,0.7,0.7,0.7,0.0,AF,36.0,-141.44027952998826,-39.06933068970128,-74.74943576115639,-52.62108565840082,41.61105149398389,AF
37,37,37,-100.0,-100.0,-100.0,-100.0,-100.0,AF,37.0,-746.5920670191945,343.73278246314794,-36.20353032818348,197.5966579663873,443.0206656548015,N
38,38,38,-100.0,-100.0,-100.0,-100.0,-100.0,AF,38.0,-447.61666954721335,-311.3344685641136,-358.877117371037,-329.5426132103753,55.62590188550306,AF
39,39,39,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,39.0,-327.38306252536546,-188.7987942418137,-279.10563639183243,-309.2469635193255,56.355447513375104,AF
40,40,40,-100.0,-100.0,-100.0,-100.0,-100.0,AF,40.0,-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,N
41,41,41,-100.0,-100.0,-100.0,-100.0,-100.0,AF,41.0,-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.0098308971173,1.247674917081282,AF
42,42,42,0.6,0.6,0.6,0.6,0.0,AF,42.0,-195.0795062774405,-154.52440969237645,-180.97224933523503,-189.87561970687625,16.522194628703122,AF
43,43,43,0.7,0.7,0.7,0.7,0.0,AF,43.0,-200.04758039330284,-62.77606604339968,-110.68655659366148,-81.86488420415708,55.69891506138182,AF
44,44,44,-100.0,-100.0,-100.0,-100.0,-100.0,AF,44.0,-318.37779649648,-23.7904440842613,-126.5535474691743,-64.55269423354022,119.5508436313815,AF
45,45,45,-100.0,-100.0,-100.0,-100.0,-100.0,AF,45.0,-558.1857717071614,29.15034926473232,-175.55016867044074,-47.0950855196035,238.9070681796222,AF
46,46,46,-100.0,-100.0,-100.0,-100.0,-100.0,AF,46.0,-344.9750639499369,-193.8568933936763,-292.31807564324885,-325.3876859145958,61.4723100595159,AF
47,47,47,-100.0,-100.0,-100.0,-100.0,-100.0,AF,47.0,-148.46151418883994,-144.72572575439574,-147.17858426035988,-147.8866636530947,1.5567220333781082,AF
48,48,48,0.6,0.9,0.75,0.75,0.2121320343559642,AF,48.0,-176.95416244086866,-48.495161895953466,-93.31295350012122,-65.94793656845522,52.16812255753969,AF
49,49,49,0.6,1.1,0.8500000000000001,0.8500000000000001,0.3535533905932738,AF,49.0,-727.2013622749545,262.381721844482,-82.48862461123998,132.02092647509633,402.3218034585671,N
50,50,50,-100.0,-100.0,-100.0,-100.0,-100.0,AF,50.0,-426.8773163364718,-262.3892909273955,-369.5666836044711,-404.95198536615686,66.85251610338919,AF
51,51,51,0.6,0.6,0.6,0.6,0.0,AF,51.0,-200.2853886549155,-169.71723901504828,-189.64231998680685,-196.25384294294383,12.42571839185933,AF
52,52,52,0.7,0.8,0.75,0.75,0.0707106781186548,AF,52.0,-157.5653090050821,-94.1567594778117,-116.2599177237779,-102.68458018583384,25.759265565514283,AF
53,53,53,0.8,0.8,0.8,0.8,0.0,AF,53.0,-395.9723981146012,53.84746910324046,-102.99977846863172,-7.616078597803992,182.6343405081002,AF
54,54,54,-100.0,-100.0,-100.0,-100.0,-100.0,AF,54.0,-657.9453597422686,35.944099206302006,-205.8694438914309,-54.443036221561314,282.2160339901582,N
55,55,55,-100.0,-100.0,-100.0,-100.0,-100.0,AF,55.0,-365.2859322166228,-202.03197589894768,-308.39017111597286,-344.19930914683863,66.41643233221234,AF
56,56,56,-100.0,-100.0,-100.0,-100.0,-100.0,AF,56.0,-172.32916251252897,-137.0227876152467,-160.0483893583951,-167.8309176402124,14.372628340478904,AF
57,57,57,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,57.0,-711.701364376671,310.19211269733995,-45.952397089306565,175.18464741574817,415.4229560360048,N
58,58,58,0.7,0.7,0.7,0.7,0.0,AF,58.0,-431.9764562173101,-218.0221902145884,-357.4369592466465,-403.3577021010272,86.94416246603541,AF
59,59,59,-100.0,-100.0,-100.0,-100.0,-100.0,AF,59.0,-188.584479793182,-143.5584636533714,-172.9039310924337,-182.6890358987756,18.310053628698903,AF
60,60,60,-100.0,-100.0,-100.0,-100.0,-100.0,AF,60.0,-157.23825657965438,-70.83417610488374,-100.95333697994953,-82.46101083616358,35.10131054379384,AF
61,61,61,-100.0,-100.0,-100.0,-100.0,-100.0,AF,61.0,-170.599351520073,-50.94646977144409,-92.66220857269936,-66.98807775951346,48.61482208074436,AF
62,62,62,0.7,0.7,0.7,0.7,0.0,AF,62.0,-804.6385557020774,337.37450153511867,-60.61789318724114,187.1000137530027,464.31346003499766,N
63,63,63,0.7,0.8,0.75,0.75,0.0707106781186548,AF,63.0,-453.2827386303415,-300.7193577651728,-400.1589643996738,-432.6529770714845,61.97760743969579,AF
64,64,64,-100.0,-100.0,-100.0,-100.0,-100.0,AF,64.0,-231.87402076381824,-170.13429758800885,-210.3825931851308,-223.6581261974177,25.089115338771173,AF
65,65,65,-100.0,-100.0,-100.0,-100.0,-100.0,AF,65.0,-463.9812365031082,58.74173678679527,-123.4514646912047,-12.749335081902366,212.2305042964944,AF
66,66,66,-100.0,-100.0,-100.0,-100.0,-100.0,AF,66.0,-653.2425987439368,242.7556148179873,-69.51138121401439,124.00665853647467,364.2040820911346,N
67,67,67,-100.0,-100.0,-100.0,-100.0,-100.0,AF,67.0,-365.9611769800216,-257.8808716634599,-328.33034623288324,-351.35442019064027,43.90694679386652,AF
68,68,68,-100.0,-100.0,-100.0,-100.0,-100.0,AF,68.0,-187.92308957902688,-175.9513760165829,-183.76592692901417,-186.3602596700551,4.868882676822193,AF
69,69,69,0.7,0.8,0.75,0.75,0.0707106781186548,AF,69.0,-467.8264520697544,76.36864034218752,-113.28662725756443,2.328548242160595,220.99299115170083,AF
70,70,70,-100.0,-100.0,-100.0,-100.0,-100.0,AF,70.0,-477.7241302536463,-99.50275163719024,-231.3263279645748,-147.82986188223353,153.93339014361868,AF
71,71,71,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,71.0,-306.92385007506283,-162.01605763042187,-256.44382106534334,-287.88903536046814,58.91665454711272,AF
72,72,72,0.7,0.7,0.7,0.7,0.0,AF,72.0,-190.87534928271128,-98.80647219256224,-130.97665768488142,-112.0662218208098,37.30806395258504,AF
73,73,73,0.6,0.8,0.7,0.7,0.1414213562373095,AF,73.0,-569.9357131404705,134.60206110774516,-110.9330827308984,42.570522834428665,286.51835854760503,N
74,74,74,-100.0,-100.0,-100.0,-100.0,-100.0,AF,74.0,-337.8177736941487,-191.98728331128652,-286.9901046099695,-318.71540146517515,59.299292560391,AF
75,75,75,-100.0,-100.0,-100.0,-100.0,-100.0,AF,75.0,-407.7286455827065,-5.393123693944119,-145.61996629492916,-60.51691443684506,163.34377898150453,AF
76,76,76,0.7,0.7,0.7,0.7,0.0,AF,76.0,-250.38371369850253,-216.2302082733437,-238.5275201662033,-244.8241520090382,13.794829945610742,AF
77,77,77,-100.0,-100.0,-100.0,-100.0,-100.0,AF,0.0,-293.53462853652337,-121.31457913624844,-181.33595451909292,-144.18400893747847,69.99532868331076,AF
78,78,78,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,1.0,-280.9491532871753,-106.40701091688447,-167.25673143800233,-129.67933153770423,70.93176750981456,AF
