,min,max,mean,med,std,label,Unnamed: 0,min,max,mean,med,std,label
359,-229.2740683890736,-185.1433120999428,-200.53541808500864,-191.1047935437461,17.92386082923034,AF,359.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
360,-239.21628382082372,-88.03720942212675,-140.74285797037362,-108.268646604318,61.42856679111546,AF,360.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
361,-685.5396685033128,242.2831831949573,-81.0696051455252,120.29852537072748,377.2496422187462,N,361.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
362,-354.59988400469416,-306.55405339982593,-337.880775044227,-348.25691198847005,19.534228273191054,AF,362.0,0.6,1.0,0.8,0.8,0.282842712474619,AF
363,-702.7249837183203,195.86241133845496,-117.33536398617257,77.91612496375345,365.3742231308679,N,363.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
364,-376.58534916683067,-330.675307843388,-360.60471764798297,-370.5877156628886,18.67516284505584,AF,364.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
365,-239.8684711492344,-207.7998307413588,-218.99208883865325,-212.22743464678047,13.017577525734096,AF,365.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
366,-273.7241620668188,-92.37134769151513,-155.63563752902812,-116.99137383981942,73.64880857858566,AF,366.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF
367,-667.2718507556398,123.62528453517795,-152.0053961958005,20.10801411059121,321.6154477693784,N,367.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
368,-397.3580910453176,-257.8546294404913,-348.7775178352475,-379.06799040498834,56.73001972510822,AF,368.0,0.16,0.276,0.2013333333333333,0.168,0.0647868299373671,PVC
369,-319.12151415308887,-79.10120062429186,-162.71424015448906,-110.52098801117587,97.61196624955149,AF,369.0,0.7,0.7,0.7,0.7,0.0,AF
370,-214.0800962945879,-127.49193296033462,-157.68178132491698,-139.45856238336458,35.14751919322863,AF,370.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF
371,-193.6790534129322,-93.06380061120215,-128.132809413278,-106.47948034872849,40.88752523853839,AF,371.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
372,-660.5008481690237,257.9775107420082,-62.09260240893581,135.84924992103424,373.3033142798816,N,372.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
373,-333.4171911258248,-326.7381557435809,-331.1332265848718,-332.24245654166765,2.701696649028499,AF,373.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
374,-483.22398825249513,75.68037491028451,-119.10939723487066,0.0035878880844695,227.00127034090028,AF,374.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
375,-449.8658709012319,-135.64623868681247,-245.1552169205455,-176.12253729737418,127.84942775475892,AF,375.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
376,-267.81721498698107,-230.86808329661855,-243.761395193968,-236.04450598118308,14.991084615767068,AF,376.0,0.7,0.7,0.7,0.7,0.0,AF
377,-216.4415279070285,-147.2993465686576,-171.40395722854956,-156.49873128120242,28.098623520545136,AF,377.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
378,-545.1695806987975,159.20268057049032,-86.25716450420035,66.29314792156885,286.36493092344307,N,378.0,0.8,0.8,0.8,0.8,0.0,AF
379,-287.09866341599394,-252.7342881700144,-275.15043414745844,-282.7321038961031,13.993735200561405,AF,379.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
380,-404.9971757916163,-20.78155949797729,-154.63228476913588,-72.05145683729916,156.13873443022553,AF,380.0,0.6,0.6,0.6,0.6,0.0,AF
381,-229.9855430014332,-190.7143839496061,-204.40729579785528,-196.40732681430055,15.914278705173071,AF,381.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
382,-215.2454218314924,-110.90210474568924,-147.28514536476925,-124.7723827643394,42.40667137700614,AF,382.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
383,-540.6680880071663,108.80511876376583,-117.50848243578136,21.345959888029107,263.8440664384892,N,383.0,0.072,0.236,0.154,0.154,0.1159655121145937,PVC
384,-386.7609201609757,-206.3602449456319,-269.24263927548384,-229.5953007507717,73.45540937259892,AF,384.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
385,-246.15423006294685,-85.69131266809201,-141.62304658266447,-107.06482485244244,65.21135000413682,AF,385.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
386,-393.4449602556029,-16.359858350134346,-147.8690789367161,-67.62291280998532,153.1290779346877,AF,386.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
387,-621.1546519479501,-7.959995147570098,-221.65025085153545,-88.08174831113779,249.3666125749152,N,387.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
388,-344.9461913057662,-292.3262442293492,-326.6256051256248,-338.1036197885348,21.4485896150767,AF,388.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
389,-217.331375589863,-188.4395276404965,-198.5315348276321,-192.40315569723552,11.72902641901008,AF,389.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
390,-505.8149827027714,72.30526978740411,-129.15417214325683,-5.675085036511705,234.84365294979125,AF,390.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
391,-318.13912887783727,-237.71271990268627,-265.77247783322764,-248.35362562778636,32.7996185427145,AF,391.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
392,-215.9832866140808,-183.7119728285952,-194.97393707001095,-187.9097233577964,13.125630672001744,AF,392.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
393,-442.7072304700538,25.842558851420627,-137.4673613624235,-37.78266590677404,190.2862032182193,AF,393.0,0.6,1.4,0.92,0.95,0.2740640638812595,PVC
394,-290.7058499682657,-214.34596446601657,-240.99657476603312,-224.5191287737372,31.151254173232196,AF,394.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
395,-241.49898606934735,-149.7181279717628,-181.7165383433123,-161.83833498726125,37.31088358748748,AF,395.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
396,-256.9900406460619,-193.9852301309267,-235.0840099284929,-248.69398101216564,25.62545500405497,AF,396.0,0.7,0.7,0.7,0.7,0.0,AF
397,-202.5083898457832,-100.7683475882148,-136.2349921687084,-114.23932924731376,41.354846427804105,AF,397.0,0.851,0.916,0.8835,0.8835,0.0459619407771256,AF
398,-237.85974967241265,-60.43228657313821,-122.32165754130416,-84.46295790261613,72.0604457868603,AF,398.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
399,-544.555014304252,95.3889562993256,-127.65004532070778,12.455378743108852,260.3203020141121,N,399.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
