,Time,II,PLETH
0,00:38:33.3,30.61,-137
1,00:38:33.3,42.85,-142
2,00:38:33.3,53.41,-146
3,00:38:33.3,63.25,-151
4,00:38:33.4,59.39,-151
5,00:38:33.4,51.18,-151
6,00:38:33.4,44.25,-149
7,00:38:33.4,36.85,-146
8,00:38:33.4,30.72,-142
9,00:38:33.5,14.11,-140
10,00:38:33.5,-168.9,-137
11,00:38:33.5,-286.79,-136
12,00:38:33.5,-265.66,-134
13,00:38:33.6,-101.87,-133
14,00:38:33.6,93.59,-130
15,00:38:33.6,223.65,-127
16,00:38:33.6,237.97,-123
17,00:38:33.6,221.12,-122
18,00:38:33.7,202.71,-121
19,00:38:33.7,187.12,-119
20,00:38:33.7,172.45,-116
21,00:38:33.7,165.3,-114
22,00:38:33.7,157.55,-115
23,00:38:33.7,137.07,-115
24,00:38:33.7,89.23,-114
25,00:38:33.8,32.33,-112
26,00:38:33.8,-21.73,-107
27,00:38:33.8,-77.16,-107
28,00:38:33.8,-118.54,-106
29,00:38:33.8,-148.09,-107
30,00:38:33.9,-149.6,-105
31,00:38:33.9,-142.03,-102
32,00:38:33.9,-127.61,-103
33,00:38:33.9,-108.55,-102
34,00:38:33.9,-105.99,-102
35,00:38:34,-110.94,-100
36,00:38:34,-111.46,-98
37,00:38:34,-107.04,-99
38,00:38:34,-99.48,-100
39,00:38:34,-87.22,-100
40,00:38:34.1,-60.24,-100
41,00:38:34.1,-30.81,-99
42,00:38:34.1,-12.84,-98
43,00:38:34.2,6.51,-97
44,00:38:34.2,17.04,-97
45,00:38:34.2,27.26,-97
46,00:38:34.2,35.84,-96
47,00:38:34.2,41.91,-94
48,00:38:34.3,45.24,-93
49,00:38:34.3,42.79,-93
50,00:38:34.3,37.46,-93
51,00:38:34.3,27.99,-92
52,00:38:34.3,16.8,-93
53,00:38:34.4,6.2,-93
54,00:38:34.4,-3.35,-92
55,00:38:34.4,45.9,-92
56,00:38:34.4,154.41,-92
57,00:38:34.4,166.93,-92
58,00:38:34.4,47.81,-94
59,00:38:34.4,-67.82,-92
60,00:38:34.5,-62.43,-93
61,00:38:34.5,-51.48,-94
62,00:38:34.5,-37.99,-93
63,00:38:34.5,-17.41,-94
64,00:38:34.5,2.64,-93
65,00:38:34.6,8.76,-95
66,00:38:34.6,7.18,-98
67,00:38:34.6,4.99,-105
68,00:38:34.6,3.43,-113
69,00:38:34.6,3.28,-122
70,00:38:34.7,9.4,-130
71,00:38:34.7,24.2,-136
72,00:38:34.7,39.27,-141
73,00:38:34.7,47.3,-146
74,00:38:34.8,51.9,-149
75,00:38:34.8,54.52,-151
76,00:38:34.8,47.74,-151
77,00:38:34.8,41.02,-149
78,00:38:34.8,35.56,-145
79,00:38:34.8,31.09,-142
80,00:38:34.9,-88.02,-142
81,00:38:34.9,-287.89,-141
82,00:38:34.9,-275.59,-140
83,00:38:34.9,-155.14,-138
