,Time,PLETH,II
0,00:24:46.500,-101,13.67
1,00:24:46.500,55,-4.9
2,00:24:46.500,-148,-3.32
3,00:24:46.500,-140,-1.92
4,00:24:46.500,-133,-1.31
5,00:24:46.500,-126,-0.95
6,00:24:46.500,-119,-0.73
7,00:24:46.500,-116,-0.58
8,00:24:46.500,-112,0.98
9,00:24:46.500,-109,0.48
10,00:24:46.500,-104,12.17
11,00:24:46.500,1960,153.0
12,00:24:46.500,-3398,270.56
13,00:24:46.500,-5640,259.84
14,00:24:46.600,-6370,246.62
15,00:24:46.600,-6383,221.58
16,00:24:46.600,-6073,195.3
17,00:24:46.600,-5632,188.12
18,00:24:46.700,-5156,236.52
19,00:24:46.700,-4689,147.39
20,00:24:46.700,-4247,80.82
21,00:24:46.700,-3838,18.27
22,00:24:46.700,-3468,60.14
23,00:24:46.700,-3134,82.57
24,00:24:46.800,-2828,76.86
25,00:24:46.800,-2551,71.24
26,00:24:46.800,-2303,71.64
27,00:24:46.800,-2081,68.5
28,00:24:46.900,-1882,63.85
29,00:24:46.900,-1703,63.46
30,00:24:46.900,-1547,64.31
31,00:24:46.900,-1418,62.15
32,00:24:46.900,-1305,59.05
33,00:24:46.900,-1200,49.19
34,00:24:46.900,-1109,33.43
35,00:24:47.000,-1024,20.16
36,00:24:47.000,-947,14.71
37,00:24:47.000,-875,12.68
38,00:24:47.000,-809,55.72
39,00:24:47.000,-747,79.89
40,00:24:47.100,-689,3.54
41,00:24:47.100,-634,-53.24
42,00:24:47.100,-582,-46.96
43,00:24:47.200,-533,-22.41
44,00:24:47.200,-486,-3.27
45,00:24:47.200,-444,5.66
46,00:24:47.200,-406,6.49
47,00:24:47.200,-373,4.22
48,00:24:47.200,-342,2.19
49,00:24:47.300,-316,3.24
50,00:24:47.300,-292,13.17
51,00:24:47.300,-268,29.56
52,00:24:47.300,-248,31.24
53,00:24:47.300,-232,25.59
54,00:24:47.300,-222,12.63
55,00:24:47.400,-212,-3.21
56,00:24:47.400,-206,-7.9
57,00:24:47.400,-200,16.74
58,00:24:47.400,-192,96.44
59,00:24:47.500,-182,12.61
60,00:24:47.500,-171,-27.66
61,00:24:47.500,-160,-72.84
62,00:24:47.500,-149,-30.01
63,00:24:47.500,-138,-19.12
64,00:24:47.600,-130,-5.88
65,00:24:47.600,-121,0.69
66,00:24:47.600,-115,3.14
67,00:24:47.600,-110,4.87
68,00:24:47.600,-108,7.99
69,00:24:47.600,-106,10.87
70,00:24:47.700,-105,20.37
71,00:24:47.700,-104,25.35
72,00:24:47.700,-104,24.13
73,00:24:47.700,-106,17.84
