,Time,II,PLETH
0,11:20:01.367,8.46,-168.0
1,11:20:01.367,8.46,7.76
2,11:20:01.367,-14.32,-76.0
3,11:20:01.367,-8.96,-75.0
4,11:20:01.367,-8.01,-74.0
5,11:20:01.367,-11.67,-74.0
6,11:20:01.367,-13.5,-74.0
7,11:20:01.367,-15.2,-73.0
8,11:20:01.367,11.75,-72.0
9,11:20:01.367,45.82,-71.0
10,11:20:01.367,-39.49,-72.0
11,11:20:01.367,-41.76,-71.0
12,11:20:01.367,-39.76,-70.0
13,11:20:01.367,163.0,1574.0
14,11:20:01.367,291.36,3796.0
15,11:20:01.414,267.72,4605.0
16,11:20:01.414,247.22,4738.0
17,11:20:01.414,224.18,4557.0
18,11:20:01.448,202.22,4245.0
19,11:20:01.448,182.64,3890.0
20,11:20:01.481,166.11,3535.0
21,11:20:01.515,149.83,3192.0
22,11:20:01.515,138.75,2876.0
23,11:20:01.548,133.12,2588.0
24,11:20:01.548,127.58,2326.0
25,11:20:01.596,115.23,2088.0
26,11:20:01.596,97.87,1874.0
27,11:20:01.633,87.41,1682.0
28,11:20:01.633,88.42,1507.0
29,11:20:01.681,141.31,1348.0
30,11:20:01.681,38.07,1208.0
31,11:20:01.715,26.99,1082.0
32,11:20:01.715,25.66,968.0
33,11:20:01.766,22.69,863.0
34,11:20:01.766,20.27,768.0
35,11:20:01.766,18.96,685.0
36,11:20:01.811,17.24,607.0
37,11:20:01.811,15.11,535.0
38,11:20:01.849,13.64,460.0
39,11:20:01.849,13.76,386.0
40,11:20:01.894,14.08,319.0
41,11:20:01.894,14.96,259.0
42,11:20:01.931,14.97,206.0
43,11:20:01.931,14.78,160.0
44,11:20:01.965,13.95,119.0
45,11:20:01.965,12.32,84.0
46,11:20:01.999,9.27,53.0
47,11:20:02.05,4.8,26.0
48,11:20:02.05,-0.94,4.0
49,11:20:02.05,-4.51,-12.0
50,11:20:02.101,-5.66,-26.0
51,11:20:02.101,-5.42,-35.0
52,11:20:02.151,-4.46,-40.0
53,11:20:02.151,-3.79,-43.0
54,11:20:02.151,-4.09,-44.0
55,11:20:02.201,-5.4,-44.0
56,11:20:02.201,-7.91,-44.0
57,11:20:02.251,-12.68,-45.0
58,11:20:02.251,-17.76,-46.0
59,11:20:02.251,-21.3,-46.0
60,11:20:02.3,-22.54,-45.0
61,11:20:02.3,-22.34,-44.0
62,11:20:02.351,-21.41,-43.0
63,11:20:02.351,-19.67,-43.0
64,11:20:02.351,-16.69,-45.0
65,11:20:02.401,-12.66,-47.0
66,11:20:02.401,-8.86,-48.0
67,11:20:02.451,-5.77,-49.0
68,11:20:02.451,-3.28,-50.0
69,11:20:02.451,-0.74,-51.0
70,11:20:02.501,2.73,-52.0
71,11:20:02.501,6.26,-54.0
72,11:20:02.549,12.72,-54.0
73,11:20:02.549,15.99,-56.0
74,11:20:02.549,12.78,-57.0
75,11:20:02.585,10.69,-58.0
76,11:20:02.634,10.81,-59.0
77,11:20:02.634,20.96,-59.0
78,11:20:02.634,86.05,-60.0
79,11:20:02.684,-22.64,-62.0
80,11:20:02.684,-16.52,-62.0
81,11:20:02.734,-15.0,-63.0
82,11:20:02.734,-13.7,-64.0
83,11:20:02.734,-12.37,-65.0
84,11:20:02.784,-11.26,-64.0
85,11:20:02.784,-10.57,-64.0
86,11:20:02.784,-9.32,-71.0
87,11:20:02.833,-8.09,-86.0
88,11:20:02.833,-6.91,-102.0
89,11:20:02.881,-4.91,-116.0
90,11:20:02.881,-1.65,-130.0
91,11:20:02.915,2.17,-142.0
92,11:20:02.915,5.59,-154.0
93,11:20:02.95,7.96,-164.0
94,11:20:02.95,8.78,-173.0
95,11:20:02.996,9.51,-178.0
96,11:20:02.996,9.93,-180.0
97,11:20:03.032,10.2,-180.0
