,Time,II,PLETH
0,00:01:50,0.45399999999999996,0.257
1,00:01:50.008,0.45,0.255
2,00:01:50.016,0.45,0.254
3,00:01:50.024,0.445,0.253
4,00:01:50.032,0.445,0.252
5,00:01:50.04,0.445,0.25
6,00:01:50.048,0.445,0.248
7,00:01:50.056,0.435,0.249
8,00:01:50.064,0.43,0.252
9,00:01:50.072,0.44,0.261
10,00:01:50.08,0.44,0.27699999999999997
11,00:01:50.088,0.445,0.3
12,00:01:50.096,0.445,0.331
13,00:01:50.104,0.445,0.37
14,00:01:50.112,0.445,0.40700000000000003
15,00:01:50.12,0.45,0.445
16,00:01:50.128,0.45399999999999996,0.49
17,00:01:50.136,0.47,0.5379999999999999
18,00:01:50.144,0.485,0.585
19,00:01:50.152,0.49,0.628
20,00:01:50.16,0.515,0.665
21,00:01:50.168,0.539,0.695
22,00:01:50.176,0.555,0.7190000000000001
23,00:01:50.184,0.565,0.735
24,00:01:50.192,0.539,0.7440000000000001
25,00:01:50.2,0.51,0.748
26,00:01:50.208,0.48,0.746
27,00:01:50.216,0.45399999999999996,0.741
28,00:01:50.224,0.43,0.7340000000000001
29,00:01:50.232,0.4,0.725
30,00:01:50.24,0.376,0.716
31,00:01:50.248,0.365,0.705
32,00:01:50.256,0.365,0.6920000000000001
33,00:01:50.264,0.365,0.6779999999999999
34,00:01:50.272,0.369,0.6629999999999999
35,00:01:50.28,0.365,0.6459999999999999
36,00:01:50.288,0.376,0.629
37,00:01:50.296,0.369,0.61
38,00:01:50.304,0.381,0.593
39,00:01:50.312,0.381,0.579
40,00:01:50.32,0.385,0.565
41,00:01:50.328,0.415,0.552
42,00:01:50.336,0.45,0.541
43,00:01:50.344,0.445,0.53
44,00:01:50.352,0.49,0.519
45,00:01:50.36,0.45399999999999996,0.509
46,00:01:50.368,0.415,0.501
47,00:01:50.376,0.35,0.493
48,00:01:50.384,0.381,0.485
49,00:01:50.392,0.395,0.47600000000000003
50,00:01:50.4,0.4,0.46799999999999997
51,00:01:50.408,0.395,0.461
52,00:01:50.416,0.4,0.455
53,00:01:50.424,0.405,0.446
54,00:01:50.432,0.395,0.43700000000000006
55,00:01:50.44,0.395,0.428
56,00:01:50.448,0.4,0.419
57,00:01:50.456,0.405,0.41100000000000003
58,00:01:50.464,0.405,0.40299999999999997
59,00:01:50.472,0.41,0.39399999999999996
60,00:01:50.48,0.405,0.385
61,00:01:50.488,0.405,0.377
62,00:01:50.496,0.4,0.37
63,00:01:50.504,0.405,0.36200000000000004
64,00:01:50.512,0.405,0.35700000000000004
65,00:01:50.52,0.41,0.353
66,00:01:50.528,0.41,0.348
67,00:01:50.536,0.41,0.34299999999999997
68,00:01:50.544,0.405,0.33799999999999997
69,00:01:50.552,0.405,0.33299999999999996
70,00:01:50.56,0.41,0.32899999999999996
71,00:01:50.568,0.405,0.325
72,00:01:50.576,0.4,0.319
73,00:01:50.584,0.405,0.313
74,00:01:50.592,0.41,0.308
75,00:01:50.6,0.415,0.303
76,00:01:50.608,0.42,0.3
77,00:01:50.616,0.42,0.298
78,00:01:50.624,0.42,0.297
79,00:01:50.632,0.425,0.29600000000000004
80,00:01:50.64,0.425,0.294
81,00:01:50.648,0.425,0.292
82,00:01:50.656,0.43,0.29
83,00:01:50.664,0.44,0.287
84,00:01:50.672,0.445,0.285
85,00:01:50.68,0.445,0.28300000000000003
86,00:01:50.688,0.45,0.281
87,00:01:50.696,0.445,0.278
88,00:01:50.704,0.445,0.275
89,00:01:50.712,0.445,0.27399999999999997
90,00:01:50.72,0.445,0.273
91,00:01:50.728,0.445,0.271
92,00:01:50.736,0.445,0.26899999999999996
93,00:01:50.744,0.445,0.266
94,00:01:50.752,0.44,0.264
95,00:01:50.76,0.435,0.263
96,00:01:50.768,0.44,0.263
97,00:01:50.776,0.435,0.262
98,00:01:50.784,0.44,0.261
99,00:01:50.792,0.435,0.259
100,00:01:50.8,0.435,0.257
101,00:01:50.808,0.435,0.256
102,00:01:50.816,0.43,0.255
103,00:01:50.824,0.435,0.254
104,00:01:50.832,0.435,0.253
105,00:01:50.84,0.43,0.254
106,00:01:50.848,0.43,0.257
107,00:01:50.856,0.44,0.266
108,00:01:50.864,0.43,0.28300000000000003
109,00:01:50.872,0.435,0.306
110,00:01:50.88,0.435,0.33799999999999997
111,00:01:50.888,0.435,0.37799999999999995
112,00:01:50.896,0.425,0.423
113,00:01:50.904,0.445,0.47
114,00:01:50.912,0.45399999999999996,0.512
115,00:01:50.92,0.475,0.5489999999999999
116,00:01:50.928,0.49,0.5870000000000001
117,00:01:50.936,0.51,0.624
118,00:01:50.944,0.525,0.654
119,00:01:50.952,0.546,0.6779999999999999
120,00:01:50.96,0.555,0.696
121,00:01:50.968,0.534,0.7070000000000001
122,00:01:50.976,0.505,0.713
123,00:01:50.984,0.475,0.7140000000000001
124,00:01:50.992,0.445,0.71
125,00:01:51,0.425,0.703
126,00:01:51.008,0.4,0.695
127,00:01:51.016,0.381,0.6859999999999999
128,00:01:51.024,0.369,0.675
129,00:01:51.032,0.369,0.664
130,00:01:51.04,0.369,0.6509999999999999
131,00:01:51.048,0.376,0.637
132,00:01:51.056,0.376,0.623
133,00:01:51.064,0.381,0.607
134,00:01:51.072,0.385,0.5920000000000001
135,00:01:51.08,0.39,0.578
136,00:01:51.088,0.395,0.564
137,00:01:51.096,0.4,0.55
138,00:01:51.104,0.44,0.5379999999999999
139,00:01:51.112,0.47,0.527
140,00:01:51.12,0.475,0.518
141,00:01:51.128,0.5,0.508
142,00:01:51.136,0.475,0.499
143,00:01:51.144,0.425,0.491
144,00:01:51.152,0.369,0.484
145,00:01:51.16,0.39,0.47700000000000004
146,00:01:51.168,0.415,0.47
147,00:01:51.176,0.405,0.46299999999999997
148,00:01:51.184,0.405,0.457
149,00:01:51.192,0.4,0.452
150,00:01:51.2,0.405,0.445
151,00:01:51.208,0.405,0.439
152,00:01:51.216,0.405,0.43200000000000005
153,00:01:51.224,0.405,0.424
154,00:01:51.232,0.41,0.41600000000000004
155,00:01:51.24,0.415,0.408
156,00:01:51.248,0.41,0.39899999999999997
157,00:01:51.256,0.42,0.39
158,00:01:51.264,0.415,0.381
159,00:01:51.272,0.42,0.373
160,00:01:51.28,0.42,0.36700000000000005
161,00:01:51.288,0.425,0.36
162,00:01:51.296,0.425,0.355
163,00:01:51.304,0.425,0.35
164,00:01:51.312,0.425,0.34600000000000003
165,00:01:51.32,0.425,0.34299999999999997
166,00:01:51.328,0.42,0.34
167,00:01:51.336,0.42,0.336
168,00:01:51.344,0.415,0.332
169,00:01:51.352,0.42,0.32899999999999996
170,00:01:51.36,0.42,0.326
171,00:01:51.368,0.42,0.322
172,00:01:51.376,0.42,0.318
173,00:01:51.384,0.425,0.314
174,00:01:51.392,0.42,0.31
175,00:01:51.4,0.43,0.306
176,00:01:51.408,0.43,0.303
177,00:01:51.416,0.435,0.301
178,00:01:51.424,0.445,0.298
179,00:01:51.432,0.45399999999999996,0.295
180,00:01:51.44,0.466,0.293
181,00:01:51.448,0.47,0.29100000000000004
182,00:01:51.456,0.47,0.29
183,00:01:51.464,0.475,0.28800000000000003
184,00:01:51.472,0.485,0.28600000000000003
185,00:01:51.48,0.48,0.284
186,00:01:51.488,0.485,0.28300000000000003
187,00:01:51.496,0.48,0.28300000000000003
188,00:01:51.504,0.475,0.282
189,00:01:51.512,0.475,0.282
190,00:01:51.52,0.47,0.281
191,00:01:51.528,0.47,0.28
192,00:01:51.536,0.47,0.27899999999999997
193,00:01:51.544,0.47,0.276
194,00:01:51.552,0.47,0.27399999999999997
195,00:01:51.56,0.466,0.271
196,00:01:51.568,0.461,0.26899999999999996
197,00:01:51.576,0.461,0.267
198,00:01:51.584,0.466,0.266
199,00:01:51.592,0.461,0.266
200,00:01:51.6,0.45399999999999996,0.265
201,00:01:51.608,0.466,0.266
202,00:01:51.616,0.47,0.26899999999999996
203,00:01:51.624,0.47,0.27399999999999997
204,00:01:51.632,0.466,0.284
205,00:01:51.64,0.461,0.3
206,00:01:51.648,0.466,0.324
207,00:01:51.656,0.466,0.35600000000000004
208,00:01:51.664,0.461,0.395
209,00:01:51.672,0.466,0.439
210,00:01:51.68,0.47,0.488
211,00:01:51.688,0.475,0.537
212,00:01:51.696,0.49,0.584
213,00:01:51.704,0.505,0.627
214,00:01:51.712,0.525,0.659
215,00:01:51.72,0.546,0.6829999999999999
216,00:01:51.728,0.565,0.706
217,00:01:51.736,0.58,0.722
218,00:01:51.744,0.555,0.733
219,00:01:51.752,0.525,0.738
220,00:01:51.76,0.495,0.7390000000000001
221,00:01:51.768,0.47,0.735
222,00:01:51.776,0.445,0.728
223,00:01:51.784,0.425,0.7190000000000001
224,00:01:51.792,0.395,0.7090000000000001
225,00:01:51.8,0.385,0.6970000000000001
226,00:01:51.808,0.381,0.685
227,00:01:51.816,0.381,0.674
228,00:01:51.824,0.376,0.6609999999999999
229,00:01:51.832,0.385,0.6459999999999999
230,00:01:51.84,0.39,0.631
231,00:01:51.848,0.39,0.616
232,00:01:51.856,0.395,0.6
233,00:01:51.864,0.395,0.586
234,00:01:51.872,0.395,0.5710000000000001
235,00:01:51.88,0.43,0.556
236,00:01:51.888,0.461,0.5429999999999999
237,00:01:51.896,0.45,0.532
238,00:01:51.904,0.485,0.523
239,00:01:51.912,0.47,0.515
240,00:01:51.92,0.445,0.507
241,00:01:51.928,0.381,0.5
242,00:01:51.936,0.4,0.494
243,00:01:51.944,0.42,0.486
244,00:01:51.952,0.415,0.478
245,00:01:51.96,0.41,0.47
246,00:01:51.968,0.41,0.462
247,00:01:51.976,0.405,0.455
248,00:01:51.984,0.41,0.446
249,00:01:51.992,0.4,0.43700000000000006
250,00:01:52,0.405,0.428
251,00:01:52.008,0.41,0.419
252,00:01:52.016,0.41,0.413
253,00:01:52.024,0.405,0.40700000000000003
254,00:01:52.032,0.405,0.39899999999999997
255,00:01:52.04,0.41,0.392
256,00:01:52.048,0.405,0.384
257,00:01:52.056,0.405,0.37799999999999995
258,00:01:52.064,0.405,0.37200000000000005
259,00:01:52.072,0.4,0.36700000000000005
260,00:01:52.08,0.405,0.361
261,00:01:52.088,0.4,0.355
262,00:01:52.096,0.4,0.35
263,00:01:52.104,0.4,0.34600000000000003
264,00:01:52.112,0.4,0.342
265,00:01:52.12,0.405,0.33799999999999997
266,00:01:52.128,0.4,0.33399999999999996
267,00:01:52.136,0.405,0.33
268,00:01:52.144,0.405,0.326
269,00:01:52.152,0.41,0.324
270,00:01:52.16,0.41,0.32
271,00:01:52.168,0.415,0.317
272,00:01:52.176,0.42,0.313
273,00:01:52.184,0.43,0.309
274,00:01:52.192,0.435,0.305
275,00:01:52.2,0.445,0.301
276,00:01:52.208,0.45399999999999996,0.299
277,00:01:52.216,0.461,0.298
278,00:01:52.224,0.466,0.297
279,00:01:52.232,0.466,0.29600000000000004
280,00:01:52.24,0.466,0.295
281,00:01:52.248,0.47,0.293
282,00:01:52.256,0.47,0.29100000000000004
283,00:01:52.264,0.47,0.289
284,00:01:52.272,0.47,0.28600000000000003
285,00:01:52.28,0.47,0.284
286,00:01:52.288,0.47,0.282
287,00:01:52.296,0.47,0.27899999999999997
288,00:01:52.304,0.47,0.278
289,00:01:52.312,0.47,0.27699999999999997
290,00:01:52.32,0.47,0.275
291,00:01:52.328,0.47,0.273
292,00:01:52.336,0.466,0.271
293,00:01:52.344,0.461,0.27
294,00:01:52.352,0.461,0.268
295,00:01:52.36,0.45399999999999996,0.266
296,00:01:52.368,0.466,0.264
297,00:01:52.376,0.461,0.263
298,00:01:52.384,0.466,0.264
299,00:01:52.392,0.466,0.266
300,00:01:52.4,0.466,0.27399999999999997
301,00:01:52.408,0.47,0.28300000000000003
302,00:01:52.416,0.47,0.299
303,00:01:52.424,0.466,0.32299999999999995
304,00:01:52.432,0.47,0.354
305,00:01:52.44,0.47,0.39299999999999996
306,00:01:52.448,0.47,0.43799999999999994
307,00:01:52.456,0.475,0.486
308,00:01:52.464,0.49,0.536
309,00:01:52.472,0.5,0.583
310,00:01:52.48,0.515,0.626
311,00:01:52.488,0.539,0.664
312,00:01:52.496,0.56,0.695
313,00:01:52.504,0.585,0.7170000000000001
314,00:01:52.512,0.595,0.73
315,00:01:52.52,0.6,0.74
316,00:01:52.528,0.555,0.747
317,00:01:52.536,0.52,0.7490000000000001
318,00:01:52.544,0.49,0.748
319,00:01:52.552,0.47,0.742
320,00:01:52.56,0.445,0.733
321,00:01:52.568,0.425,0.723
322,00:01:52.576,0.405,0.713
323,00:01:52.584,0.4,0.7
324,00:01:52.592,0.4,0.687
325,00:01:52.6,0.4,0.674
326,00:01:52.608,0.4,0.66
327,00:01:52.616,0.405,0.6459999999999999
328,00:01:52.624,0.41,0.631
329,00:01:52.632,0.415,0.617
330,00:01:52.64,0.415,0.6
331,00:01:52.648,0.41,0.585
332,00:01:52.656,0.425,0.57
333,00:01:52.664,0.461,0.557
334,00:01:52.672,0.47,0.545
335,00:01:52.68,0.466,0.536
336,00:01:52.688,0.485,0.527
337,00:01:52.696,0.45,0.519
338,00:01:52.704,0.395,0.511
339,00:01:52.712,0.385,0.503
340,00:01:52.72,0.425,0.495
341,00:01:52.728,0.42,0.486
342,00:01:52.736,0.42,0.47700000000000004
343,00:01:52.744,0.415,0.46799999999999997
344,00:01:52.752,0.42,0.45899999999999996
