,Time,PLETH,II
0,00:57:35.700,-163,15.0
1,00:57:35.700,-160,9.2
2,00:57:35.700,-153,6.95
3,00:57:35.700,-143,21.25
4,00:57:35.700,-133,48.42
5,00:57:35.700,-125,203.84
6,00:57:35.700,-121,51.35
7,00:57:35.700,-119,-13.97
8,00:57:35.700,-117,-77.5
9,00:57:35.700,-115,-80.57
10,00:57:35.700,2020,153.0
11,00:57:35.700,-3055,295.01
12,00:57:35.700,-5187,457.28
13,00:57:35.700,-5889,250.07
14,00:57:35.800,-5915,173.53
15,00:57:35.800,-5634,112.13
16,00:57:35.800,-5229,86.63
17,00:57:35.800,-4788,76.85
18,00:57:35.800,-4356,84.58
19,00:57:35.900,-3947,81.9
20,00:57:35.900,-3570,78.72
21,00:57:35.900,-3224,74.03
22,00:57:35.900,-2916,70.21
23,00:57:35.900,-2644,76.58
24,00:57:36.000,-2405,85.17
25,00:57:36.000,-2191,89.14
26,00:57:36.000,-2000,91.54
27,00:57:36.000,-1827,90.04
28,00:57:36.100,-1669,83.83
29,00:57:36.100,-1524,72.5
30,00:57:36.100,-1386,59.8
31,00:57:36.100,-1259,55.35
32,00:57:36.100,-1140,95.47
33,00:57:36.100,-1030,194.23
34,00:57:36.200,-932,52.27
35,00:57:36.200,-845,-7.07
36,00:57:36.200,-769,-60.26
37,00:57:36.200,-701,-60.9
38,00:57:36.300,-638,-59.02
39,00:57:36.300,-582,-51.81
40,00:57:36.300,-531,-38.16
41,00:57:36.300,-485,-24.97
42,00:57:36.300,-444,-10.39
43,00:57:36.300,-408,7.55
44,00:57:36.400,-377,37.06
45,00:57:36.400,-354,48.8
46,00:57:36.400,-337,52.9
47,00:57:36.400,-322,49.33
48,00:57:36.500,-307,47.31
49,00:57:36.500,-291,43.18
50,00:57:36.500,-273,37.27
51,00:57:36.500,-253,28.46
52,00:57:36.600,-233,78.21
53,00:57:36.600,-214,222.1
54,00:57:36.600,-196,22.12
55,00:57:36.600,-184,-37.17
56,00:57:36.600,-175,-90.28
57,00:57:36.600,-166,-84.01
58,00:57:36.700,-158,-77.43
59,00:57:36.700,-151,-69.95
60,00:57:36.700,-142,-53.0
61,00:57:36.700,-134,-36.36
62,00:57:36.800,-130,-29.79
63,00:57:36.800,-125,-23.0
64,00:57:36.800,-123,-11.87
65,00:57:36.800,-127,6.19
66,00:57:36.800,-134,15.27
67,00:57:36.800,-141,24.37
68,00:57:36.900,-146,27.77
