,Time,PLETH,II
0,00:24:47.500,-171,-27.66
1,00:24:47.500,-160,-72.84
2,00:24:47.500,-149,-30.01
3,00:24:47.500,-138,-19.12
4,00:24:47.600,-130,-5.88
5,00:24:47.600,-121,0.69
6,00:24:47.600,-115,3.14
7,00:24:47.600,-110,4.87
8,00:24:47.600,-108,7.99
9,00:24:47.600,-106,10.87
10,00:24:47.700,-105,20.37
11,00:24:47.700,-104,25.35
12,00:24:47.700,-104,24.13
13,00:24:47.700,-106,17.84
14,00:24:47.700,-110,9.85
15,00:24:47.800,-113,4.27
16,00:24:47.800,-115,-2.75
17,00:24:47.800,-113,-1.78
18,00:24:47.800,-109,-2.26
19,00:24:47.800,-104,-1.26
20,00:24:47.900,-99,0.26
21,00:24:47.900,-95,1.4
22,00:24:47.900,-91,0.69
23,00:24:47.900,-89,0.24
24,00:24:47.900,-88,-0.54
25,00:24:48.000,-89,1.51
26,00:24:48.000,-89,3.51
27,00:24:48.000,-89,5.02
28,00:24:48.000,-89,3.38
29,00:24:48.100,-89,19.43
30,00:24:48.100,-89,78.48
31,00:24:48.100,-89,11.24
32,00:24:48.100,-88,-32.27
33,00:24:48.200,-90,-82.42
34,00:24:48.200,-89,-17.15
35,00:24:48.200,-89,3.24
36,00:24:48.200,-89,0.83
37,00:24:48.200,-87,0.42
38,00:24:48.300,-86,5.16
39,00:24:48.300,-88,6.9
40,00:24:48.300,-97,8.86
41,00:24:48.300,-113,12.22
42,00:24:48.300,-135,19.15
43,00:24:48.300,-155,27.47
44,00:24:48.300,-172,28.93
45,00:24:48.400,-184,19.74
46,00:24:48.400,-194,4.44
47,00:24:48.400,-198,-6.02
48,00:24:48.400,-201,-8.54
49,00:24:48.500,-203,-5.94
50,00:24:48.500,-201,-3.01
51,00:24:48.500,-197,4.49
52,00:24:48.500,-188,6.92
53,00:24:48.500,-177,5.2
54,00:24:48.500,-166,3.23
55,00:24:48.600,-159,-0.88
56,00:24:48.600,-152,-3.99
57,00:24:48.600,-144,-3.99
58,00:24:48.600,-138,2.9
59,00:24:48.700,-133,10.41
60,00:24:48.700,-127,11.85
61,00:24:48.700,-121,10.68
62,00:24:48.700,-115,6.64
63,00:24:48.700,-111,1.22
64,00:24:48.800,-107,-3.81
65,00:24:48.800,-103,-2.41
66,00:24:48.800,-99,2.04
67,00:24:48.800,-96,27.05
68,00:24:48.800,-94,94.26
69,00:24:48.900,-91,-6.51
70,00:24:48.900,-89,-57.36
71,00:24:48.900,-88,-99.05
72,00:24:48.900,-86,-37.29
73,00:24:48.900,-85,-10.78
74,00:24:49.000,-84,15.54
75,00:24:49.000,-83,20.53
76,00:24:49.000,-82,19.11
77,00:24:49.000,-82,16.18
78,00:24:49.100,-85,16.11
79,00:24:49.100,-94,16.96
80,00:24:49.100,-110,16.97
81,00:24:49.100,-130,19.8
82,00:24:49.100,-148,23.2
83,00:24:49.100,-164,19.5
84,00:24:49.200,-177,10.56
85,00:24:49.200,-186,1.11
86,00:24:49.200,-195,-4.98
87,00:24:49.200,-198,32.26
88,00:24:49.200,-199,92.01
89,00:24:49.200,-197,-3.87
90,00:24:49.300,-192,-49.63
91,00:24:49.300,-185,-58.4
92,00:24:49.300,-175,-35.37
93,00:24:49.300,-165,-20.92
94,00:24:49.400,-152,-19.6
95,00:24:49.400,-141,-20.68
96,00:24:49.400,-131,-15.78
97,00:24:49.400,-123,-4.87
98,00:24:49.400,-118,3.56
99,00:24:49.500,-113,9.15
100,00:24:49.500,-108,17.09
101,00:24:49.500,-105,19.32
102,00:24:49.500,-104,12.54
103,00:24:49.500,-104,3.8
104,00:24:49.500,-110,1.58
105,00:24:49.600,-114,0.88
106,00:24:49.600,-116,-0.44
107,00:24:49.600,-115,-0.3
108,00:24:49.600,-111,0.28
109,00:24:49.600,-103,0.68
110,00:24:49.700,-94,1.4
111,00:24:49.700,-86,-0.7
112,00:24:49.700,-80,1.93
113,00:24:49.700,-78,3.77
114,00:24:49.700,-76,3.5
115,00:24:49.800,-75,3.36
116,00:24:49.800,-74,3.28
117,00:24:49.800,-75,3.41
118,00:24:49.800,-75,2.67
119,00:24:49.900,-76,2.93
120,00:24:49.900,-75,2.76
121,00:24:49.900,-74,18.16
122,00:24:49.900,-73,48.94
123,00:24:50.000,-70,6.46
124,00:24:50.000,-69,-36.48
125,00:24:50.000,-69,-82.94
126,00:24:50.000,-69,-14.48
127,00:24:50.000,-68,6.3
128,00:24:50.100,-68,1.59
129,00:24:50.100,-67,0.72
130,00:24:50.100,-67,3.55
131,00:24:50.100,-69,6.14
132,00:24:50.100,-77,10.07
133,00:24:50.100,-90,15.33
134,00:24:50.100,-110,27.96
135,00:24:50.200,-130,32.44
136,00:24:50.200,-147,24.41
137,00:24:50.200,-162,13.35
138,00:24:50.200,-172,4.36
139,00:24:50.300,-180,-3.1
140,00:24:50.300,-184,-7.64
141,00:24:50.300,-185,-0.73
142,00:24:50.300,-183,-0.33
143,00:24:50.300,-176,2.74
144,00:24:50.400,-166,1.64
145,00:24:50.400,-157,1.76
146,00:24:50.400,-148,1.82
147,00:24:50.400,-140,1.02
148,00:24:50.400,-135,1.01
149,00:24:50.500,-130,2.12
150,00:24:50.500,-126,3.0
151,00:24:50.500,-123,27.72
152,00:24:50.500,-119,35.23
153,00:24:50.500,-114,1.66
154,00:24:50.500,-111,-47.55
155,00:24:50.600,-105,-79.43
156,00:24:50.600,-100,-25.38
157,00:24:50.600,-94,1.64
158,00:24:50.600,-90,8.17
159,00:24:50.700,-87,11.6
160,00:24:50.700,-85,14.21
161,00:24:50.700,-84,14.55
162,00:24:50.700,-84,16.58
163,00:24:50.700,-89,18.43
164,00:24:50.700,-97,24.49
165,00:24:50.800,-112,23.76
166,00:24:50.800,-128,17.39
167,00:24:50.800,-141,10.7
168,00:24:50.900,-152,5.48
169,00:24:50.900,-159,0.08
170,00:24:50.900,-163,-4.58
171,00:24:50.900,-164,-0.83
172,00:24:50.900,-164,-4.63
173,00:24:51.000,-160,-5.72
174,00:24:51.000,-154,-6.9
175,00:24:51.000,-146,28.77
176,00:24:51.000,-136,42.48
177,00:24:51.000,-128,-0.95
178,00:24:51.100,-124,-52.71
179,00:24:51.100,-119,-45.24
180,00:24:51.100,-113,-22.3
181,00:24:51.100,-110,-12.4
182,00:24:51.100,-108,-8.98
183,00:24:51.100,-106,-4.05
184,00:24:51.100,-104,-0.05
185,00:24:51.200,-101,3.76
186,00:24:51.200,-101,9.39
187,00:24:51.200,-104,13.24
188,00:24:51.200,-112,15.01
189,00:24:51.200,-124,15.4
190,00:24:51.300,-136,13.77
191,00:24:51.300,-146,11.62
192,00:24:51.300,-155,10.36
193,00:24:51.300,-160,11.21
194,00:24:51.400,-161,7.11
195,00:24:51.400,-158,3.36
196,00:24:51.400,-153,1.44
197,00:24:51.400,-143,0.88
198,00:24:51.400,-132,0.92
199,00:24:51.500,-122,27.72
200,00:24:51.500,-113,47.29
201,00:24:51.500,-108,1.1
202,00:24:51.600,-104,-56.27
203,00:24:51.600,-101,-62.98
204,00:24:51.600,-101,-27.84
205,00:24:51.600,-98,-9.46
206,00:24:51.600,-95,-5.5
207,00:24:51.600,-93,-3.65
208,00:24:51.600,-90,-5.46
209,00:24:51.700,-87,1.07
210,00:24:51.700,-86,12.18
211,00:24:51.700,-89,25.67
212,00:24:51.700,-100,29.2
213,00:24:51.700,-114,25.07
214,00:24:51.800,-128,14.51
215,00:24:51.800,-138,2.7
216,00:24:51.800,-148,-4.16
217,00:24:51.800,-154,-4.07
218,00:24:51.800,-156,-2.21
219,00:24:51.800,-158,-1.42
220,00:24:51.900,-152,-2.51
221,00:24:51.900,-144,-2.94
222,00:24:51.900,-132,-2.96
223,00:24:51.900,-123,-0.14
224,00:24:52.000,-114,3.16
225,00:24:52.000,-107,5.47
226,00:24:52.000,-102,6.45
227,00:24:52.000,-100,5.98
228,00:24:52.100,-97,2.45
229,00:24:52.100,-95,-1.95
230,00:24:52.100,-92,-1.52
231,00:24:52.100,-88,0.64
232,00:24:52.100,-86,4.65
233,00:24:52.100,-83,15.13
234,00:24:52.100,-80,34.14
235,00:24:52.200,-78,66.17
236,00:24:52.200,-76,106.66
237,00:24:52.200,-73,135.13
238,00:24:52.200,-73,64.28
239,00:24:52.300,-72,-12.27
240,00:24:52.300,-72,-72.9
241,00:24:52.300,-72,-97.47
242,00:24:52.300,-72,-104.8
243,00:24:52.400,-71,-104.32
244,00:24:52.400,-71,-102.23
245,00:24:52.400,-70,-98.38
246,00:24:52.400,-68,-90.01
247,00:24:52.400,-69,-78.26
248,00:24:52.400,-74,-57.16
249,00:24:52.500,-86,-28.46
250,00:24:52.500,-105,12.6
251,00:24:52.500,-125,52.78
252,00:24:52.500,-144,64.57
253,00:24:52.500,-161,64.19
254,00:24:52.500,-173,59.97
255,00:24:52.600,-180,59.53
256,00:24:52.600,-182,56.02
257,00:24:52.600,-179,50.33
258,00:24:52.700,-173,40.78
259,00:24:52.700,-166,29.67
260,00:24:52.700,-159,22.95
261,00:24:52.700,-149,16.19
262,00:24:52.700,-140,19.41
263,00:24:52.700,-131,19.22
264,00:24:52.700,-126,17.51
265,00:24:52.800,-121,14.68
266,00:24:52.800,-117,10.61
267,00:24:52.800,-113,9.46
268,00:24:52.800,-109,6.8
269,00:24:52.900,-104,19.17
270,00:24:52.900,-101,37.62
271,00:24:52.900,-97,67.05
272,00:24:52.900,-93,164.37
273,00:24:52.900,-89,94.63
274,00:24:53.000,-84,-44.38
275,00:24:53.000,-81,-98.35
276,00:24:53.000,-79,-85.96
277,00:24:53.000,-77,-77.85
278,00:24:53.100,-75,-73.75
279,00:24:53.100,-74,-72.87
280,00:24:53.100,-74,-71.44
281,00:24:53.100,-74,-68.91
282,00:24:53.100,-75,-57.41
283,00:24:53.200,-79,-33.62
284,00:24:53.200,-88,-9.19
285,00:24:53.200,-105,15.32
286,00:24:53.200,-122,25.75
287,00:24:53.200,-141,25.91
288,00:24:53.200,-155,23.96
289,00:24:53.200,-164,26.21
290,00:24:53.300,-171,28.37
291,00:24:53.300,-177,28.61
292,00:24:53.300,-180,26.74
293,00:24:53.300,-179,22.67
294,00:24:53.400,-175,15.65
295,00:24:53.400,-168,13.72
296,00:24:53.400,-159,11.32
297,00:24:53.400,-148,11.59
298,00:24:53.400,-137,12.61
299,00:24:53.400,-130,13.58
300,00:24:53.500,-122,12.31
301,00:24:53.500,-117,9.35
302,00:24:53.500,-113,7.01
303,00:24:53.500,-110,4.0
304,00:24:53.500,-105,4.0
305,00:24:53.600,-99,4.0
306,00:24:53.600,-95,4.22
307,00:24:53.600,-91,3.39
308,00:24:53.600,-87,5.28
309,00:24:53.700,-83,17.36
310,00:24:53.700,-81,85.51
311,00:24:53.700,-78,5.76
312,00:24:53.700,-76,-19.18
313,00:24:53.700,-74,-18.27
314,00:24:53.700,-72,-26.02
315,00:24:53.800,-70,-22.69
316,00:24:53.800,-70,-21.43
317,00:24:53.800,-71,-20.15
318,00:24:53.800,-70,-20.1
319,00:24:53.800,-72,-19.57
320,00:24:53.900,-72,-16.39
321,00:24:53.900,-79,-6.64
322,00:24:53.900,-90,7.43
323,00:24:53.900,-107,14.45
324,00:24:54.000,-126,10.73
325,00:24:54.000,-143,4.04
326,00:24:54.000,-155,1.87
327,00:24:54.000,-162,6.22
328,00:24:54.000,-168,8.9
329,00:24:54.100,-172,6.41
330,00:24:54.100,-173,3.83
331,00:24:54.100,-175,0.32
332,00:24:54.100,-172,-1.53
333,00:24:54.100,-166,1.71
334,00:24:54.200,-158,6.38
335,00:24:54.200,-148,6.2
336,00:24:54.200,-138,7.12
337,00:24:54.200,-131,5.9
338,00:24:54.200,-124,4.75
339,00:24:54.300,-119,4.54
340,00:24:54.300,-114,6.31
341,00:24:54.300,-110,12.68
342,00:24:54.300,-103,22.47
343,00:24:54.300,-96,53.66
344,00:24:54.400,-92,181.55
345,00:24:54.400,-88,36.67
346,00:24:54.400,-84,-63.5
347,00:24:54.400,-83,-78.62
348,00:24:54.400,-80,-77.47
349,00:24:54.400,-77,-71.84
350,00:24:54.500,-74,-64.87
351,00:24:54.500,-73,-57.85
352,00:24:54.500,-75,-51.27
353,00:24:54.500,-73,-37.97
354,00:24:54.600,-70,-28.85
355,00:24:54.600,-68,-17.96
356,00:24:54.600,-70,0.27
357,00:24:54.600,-79,19.26
358,00:24:54.600,-94,27.75
359,00:24:54.600,-110,32.79
360,00:24:54.700,-125,36.59
361,00:24:54.700,-137,32.98
362,00:24:54.700,-146,26.61
363,00:24:54.700,-153,17.94
364,00:24:54.800,-156,12.74
365,00:24:54.800,-157,7.11
366,00:24:54.800,-154,10.18
367,00:24:54.800,-147,11.91
368,00:24:54.800,-140,13.87
369,00:24:54.800,-131,12.81
370,00:24:54.900,-125,10.63
371,00:24:54.900,-119,9.0
372,00:24:54.900,-116,8.33
373,00:24:54.900,-112,7.65
374,00:24:55.000,-107,10.11
375,00:24:55.000,-104,9.74
376,00:24:55.000,-100,9.53
377,00:24:55.000,-97,7.83
378,00:24:55.000,-94,3.9
379,00:24:55.000,-90,12.82
380,00:24:55.100,-88,80.65
381,00:24:55.100,-86,1.74
382,00:24:55.100,-83,-33.04
383,00:24:55.100,-79,-50.91
384,00:24:55.200,-79,-18.47
385,00:24:55.200,-77,-6.91
386,00:24:55.200,-77,-4.32
387,00:24:55.200,-77,-4.65
388,00:24:55.200,-75,-5.11
389,00:24:55.300,-74,-7.3
390,00:24:55.300,-74,-1.89
391,00:24:55.300,-78,6.45
392,00:24:55.300,-87,17.5
393,00:24:55.300,-101,25.32
394,00:24:55.300,-117,20.45
395,00:24:55.400,-135,9.36
396,00:24:55.400,-148,2.94
397,00:24:55.400,-160,-2.04
398,00:24:55.400,-168,-5.1
399,00:24:55.400,-170,-6.41
400,00:24:55.500,-168,-5.16
401,00:24:55.500,-169,-2.79
402,00:24:55.500,-166,0.39
403,00:24:55.500,-160,5.08
404,00:24:55.600,-153,5.98
405,00:24:55.600,-144,3.84
406,00:24:55.600,-135,3.54
407,00:24:55.600,-128,35.32
408,00:24:55.600,-122,10.25
409,00:24:55.600,-118,-17.54
410,00:24:55.700,-114,-62.36
411,00:24:55.700,-108,-26.76
412,00:24:55.700,-104,-4.96
413,00:24:55.700,-100,-1.99
414,00:24:55.800,-98,-2.51
415,00:24:55.800,-93,-3.76
416,00:24:55.800,-90,-0.9
417,00:24:55.800,-87,4.77
418,00:24:55.800,-87,13.15
419,00:24:55.900,-91,20.47
