,Time,II,PLETH
0,08:22:15.92,0.003,0.866
1,08:22:15.922,0.003,0.866
2,08:22:15.924,0.003,0.866
3,08:22:15.926,0.034,0.866
4,08:22:15.928,0.034,0.8420000000000001
5,08:22:15.93,0.034,0.8420000000000001
6,08:22:15.932,0.003,0.8420000000000001
7,08:22:15.934,0.034,0.8420000000000001
8,08:22:15.936,0.034,0.818
9,08:22:15.938,0.034,0.818
10,08:22:15.94,0.003,0.818
11,08:22:15.942,0.003,0.818
12,08:22:15.944,0.003,0.77
13,08:22:15.946,0.003,0.77
14,08:22:15.948,0.003,0.77
15,08:22:15.95,0.003,0.77
16,08:22:15.952,0.003,0.731
17,08:22:15.954,0.003,0.731
18,08:22:15.956,0.003,0.731
19,08:22:15.958,-0.03,0.731
20,08:22:15.96,0.003,0.682
21,08:22:15.962,0.003,0.682
22,08:22:15.964,0.003,0.682
23,08:22:15.966,-0.03,0.682
24,08:22:15.968,-0.03,0.627
25,08:22:15.97,-0.03,0.627
26,08:22:15.972,-0.03,0.627
27,08:22:15.974,-0.03,0.627
28,08:22:15.976,-0.03,0.555
29,08:22:15.978,-0.03,0.555
30,08:22:15.98,0.003,0.555
31,08:22:15.982,0.003,0.555
32,08:22:15.984,0.003,0.5
33,08:22:15.986,0.003,0.5
34,08:22:15.988,0.003,0.5
35,08:22:15.99,-0.03,0.5
36,08:22:15.992,-0.03,0.42100000000000004
37,08:22:15.994,-0.03,0.42100000000000004
38,08:22:15.996,-0.03,0.42100000000000004
39,08:22:15.998,-0.03,0.42100000000000004
40,08:22:16,0.003,0.35700000000000004
41,08:22:16.002,0.003,0.35700000000000004
42,08:22:16.004,0.003,0.35700000000000004
43,08:22:16.006,0.003,0.35700000000000004
44,08:22:16.008,0.003,0.294
45,08:22:16.01,0.034,0.294
46,08:22:16.012,0.034,0.294
47,08:22:16.014,0.034,0.294
48,08:22:16.016,0.034,0.24600000000000002
49,08:22:16.018,0.067,0.24600000000000002
50,08:22:16.02,0.067,0.24600000000000002
51,08:22:16.022,0.099,0.24600000000000002
52,08:22:16.024,0.099,0.19899999999999998
53,08:22:16.026,0.099,0.19899999999999998
54,08:22:16.028,0.067,0.19899999999999998
55,08:22:16.03,0.067,0.19899999999999998
56,08:22:16.032,0.003,0.174
57,08:22:16.034,0.003,0.174
58,08:22:16.036,-0.062,0.174
59,08:22:16.038,-0.16,0.174
60,08:22:16.04,-0.226,0.135
61,08:22:16.042,-0.32299999999999995,0.135
62,08:22:16.044,-0.42100000000000004,0.135
63,08:22:16.046,-0.485,0.135
64,08:22:16.048,-0.55,0.10300000000000001
65,08:22:16.05,-0.6809999999999999,0.10300000000000001
66,08:22:16.052,-0.8440000000000001,0.10300000000000001
67,08:22:16.054,-1.071,0.10300000000000001
68,08:22:16.056,-1.234,0.08
69,08:22:16.058,-1.3319999999999999,0.08
70,08:22:16.06,-1.429,0.08
71,08:22:16.062,-1.494,0.08
72,08:22:16.064,-1.527,0.048
73,08:22:16.066,-1.527,0.048
74,08:22:16.068,-1.527,0.048
75,08:22:16.07,-1.4609999999999999,0.048
76,08:22:16.072,-1.429,0.0
77,08:22:16.074,-1.396,0.0
78,08:22:16.076,-1.365,0.0
79,08:22:16.078,-1.3,0.0
80,08:22:16.08,-1.234,-0.032
81,08:22:16.082,-1.136,-0.032
82,08:22:16.084,-1.0390000000000001,-0.032
83,08:22:16.086,-0.973,-0.032
84,08:22:16.088,-0.877,-0.071
85,08:22:16.09,-0.779,-0.071
86,08:22:16.092,-0.6809999999999999,-0.071
87,08:22:16.094,-0.616,-0.071
88,08:22:16.096,-0.518,-0.10300000000000001
89,08:22:16.098,-0.45399999999999996,-0.10300000000000001
90,08:22:16.1,-0.35600000000000004,-0.10300000000000001
91,08:22:16.102,-0.29100000000000004,-0.10300000000000001
92,08:22:16.104,-0.226,-0.135
93,08:22:16.106,-0.193,-0.135
94,08:22:16.108,-0.16,-0.135
95,08:22:16.11,-0.16,-0.135
96,08:22:16.112,-0.128,-0.16699999999999998
97,08:22:16.114,-0.095,-0.16699999999999998
98,08:22:16.116,-0.095,-0.16699999999999998
99,08:22:16.118,-0.062,-0.16699999999999998
100,08:22:16.12,-0.062,-0.191
101,08:22:16.122,-0.03,-0.191
102,08:22:16.124,-0.03,-0.191
103,08:22:16.126,0.003,-0.191
