,min,max,mean,med,std,label
0,0.7,0.7,0.7,0.7,0.0,AF
1,0.7,0.7,0.7,0.7,0.0,AF
2,0.6,0.8,0.7,0.7,0.14142135623730953,AF
3,0.7,1.1,0.9,0.9,0.2828427124746191,AF
4,-100.0,-100.0,-100.0,-100.0,-100.0,AF
5,0.8,0.8,0.8,0.8,0.0,AF
6,-100.0,-100.0,-100.0,-100.0,-100.0,AF
7,0.851,0.965,0.9079999999999999,0.9079999999999999,0.08061017305526641,AF
8,-100.0,-100.0,-100.0,-100.0,-100.0,AF
9,0.7,0.9,0.8,0.8,0.14142135623730953,AF
10,0.8,1.0,0.9,0.9,0.14142135623730948,AF
11,0.6,0.8,0.7,0.7,0.14142135623730953,AF
12,0.7,0.7,0.7,0.7,0.0,AF
13,-100.0,-100.0,-100.0,-100.0,-100.0,AF
14,-100.0,-100.0,-100.0,-100.0,-100.0,AF
15,0.7,0.9,0.8,0.8,0.14142135623730953,AF
16,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF
17,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
18,-100.0,-100.0,-100.0,-100.0,-100.0,AF
19,-100.0,-100.0,-100.0,-100.0,-100.0,AF
20,0.8,1.0,0.9,0.9,0.14142135623730948,AF
21,0.749,0.966,0.8574999999999999,0.8574999999999999,0.1534421715174808,AF
22,-100.0,-100.0,-100.0,-100.0,-100.0,AF
23,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
24,-100.0,-100.0,-100.0,-100.0,-100.0,AF
25,0.6,1.2,0.8999999999999999,0.8999999999999999,0.42426406871192845,AF
26,-100.0,-100.0,-100.0,-100.0,-100.0,AF
27,0.6,1.1,0.8500000000000001,0.8500000000000001,0.35355339059327384,AF
28,-100.0,-100.0,-100.0,-100.0,-100.0,AF
29,0.7,0.9,0.8,0.8,0.14142135623730953,AF
30,0.8,0.8,0.8,0.8,0.0,AF
31,-100.0,-100.0,-100.0,-100.0,-100.0,AF
32,0.7,0.8,0.75,0.75,0.07071067811865482,AF
33,-100.0,-100.0,-100.0,-100.0,-100.0,AF
34,-100.0,-100.0,-100.0,-100.0,-100.0,AF
35,0.6,0.8,0.7,0.7,0.14142135623730953,AF
36,-100.0,-100.0,-100.0,-100.0,-100.0,AF
37,0.7,0.8,0.75,0.75,0.07071067811865482,AF
38,0.9,0.9,0.9,0.9,0.0,AF
39,0.6,0.8,0.7,0.7,0.14142135623730953,AF
40,0.6,0.6,0.6,0.6,0.0,AF
41,0.7,0.8,0.75,0.75,0.07071067811865482,AF
42,-100.0,-100.0,-100.0,-100.0,-100.0,AF
43,0.6,0.8,0.7,0.7,0.14142135623730953,AF
44,-100.0,-100.0,-100.0,-100.0,-100.0,AF
45,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF
46,0.7,0.7,0.7,0.7,0.0,AF
47,0.6,0.8,0.7,0.7,0.14142135623730953,AF
48,-100.0,-100.0,-100.0,-100.0,-100.0,AF
49,0.6,0.9,0.75,0.75,0.21213203435596428,AF
50,-100.0,-100.0,-100.0,-100.0,-100.0,AF
51,-100.0,-100.0,-100.0,-100.0,-100.0,AF
52,-100.0,-100.0,-100.0,-100.0,-100.0,AF
53,-100.0,-100.0,-100.0,-100.0,-100.0,AF
54,0.6,0.6,0.6,0.6,0.0,AF
55,-100.0,-100.0,-100.0,-100.0,-100.0,AF
56,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
57,0.7,0.8,0.75,0.75,0.07071067811865482,AF
58,-100.0,-100.0,-100.0,-100.0,-100.0,AF
59,0.7,0.9,0.8,0.8,0.14142135623730953,AF
60,-100.0,-100.0,-100.0,-100.0,-100.0,AF
