,min,max,mean,med,std,label
0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
1,0.36,0.792,0.6224,0.696,0.1932790728454584,PVC
2,0.06,0.176,0.09866666666666667,0.06,0.06697263122599659,PVC
3,0.784,0.784,0.784,0.784,0.0,PVC
4,0.068,0.252,0.156,0.152,0.078655366420014,PVC
5,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
6,0.536,0.792,0.7344,0.784,0.11105314043285765,PVC
7,0.188,0.452,0.2786666666666667,0.196,0.1501643544032116,PVC
8,0.8,1.4,1.077777777777778,1.0,0.19220937657784656,PVC
9,0.264,0.524,0.394,0.394,0.18384776310850237,PVC
10,0.116,0.448,0.2866666666666667,0.296,0.16619667064455093,PVC
11,0.152,0.288,0.21599999999999997,0.212,0.06299206299209448,PVC
12,-31839.066,1.6,-4547.731714285715,0.7,12034.347257735497,PVC
13,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
14,0.7,1.6,1.075,1.0,0.3284161123592186,PVC
15,0.096,0.248,0.1624,0.128,0.07029082443676415,PVC
16,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
17,0.784,0.792,0.786,0.784,0.0040000000000000036,PVC
18,0.6,1.5,0.9400000000000001,0.9,0.3204163957519444,PVC
19,0.176,0.24,0.21599999999999997,0.232,0.034871191548325395,PVC
20,0.156,0.424,0.2826666666666667,0.268,0.1346006438815704,PVC
21,0.064,0.168,0.112,0.10799999999999998,0.051845925587262885,PVC
22,0.096,0.228,0.1426666666666667,0.104,0.07400900846068223,PVC
23,0.8,1.5,1.0555555555555556,1.0,0.2403700850309326,PVC
24,0.2,0.516,0.358,0.358,0.22344574285494903,PVC
25,0.2,0.216,0.20933333333333334,0.212,0.008326663997864522,PVC
26,0.24,0.784,0.648,0.772,0.22216390345868522,PVC
27,0.228,0.26,0.24666666666666667,0.252,0.01665332799572906,PVC
28,0.8,1.4,1.0777777777777777,1.0,0.2333333333333333,PVC
29,0.6,1.3,0.9399999999999998,0.95,0.22211108331943577,PVC
30,0.9,1.4,1.1124999999999998,1.1,0.1885091888628092,PVC
31,0.136,0.56,0.316,0.252,0.21912553479683744,PVC
32,0.6,1.1,0.89,0.9,0.1523883926754995,PVC
33,0.092,0.432,0.212,0.112,0.1907878402833891,PVC
34,0.072,0.248,0.15333333333333335,0.14,0.08875434261676064,PVC
35,0.268,0.56,0.41400000000000003,0.41400000000000003,0.2064751801064719,PVC
36,0.18,0.284,0.236,0.24,0.04572380853195265,PVC
37,0.776,0.8,0.788,0.788,0.010327955589886454,PVC
38,0.264,0.816,0.49028571428571427,0.448,0.1794637514798966,PVC
39,0.7,1.5,1.1,1.15,0.29277002188455997,PVC
40,0.216,0.632,0.424,0.424,0.2941564209736038,PVC
41,0.6,1.4,0.8272727272727274,0.8,0.21489955370316194,PVC
42,0.7,1.6,1.125,1.05,0.276457178290909,PVC
43,0.6,1.5,0.8727272727272729,0.8,0.26491851234260355,PVC
44,0.256,0.792,0.524,0.492,0.22879160823771488,PVC
45,0.184,0.232,0.20533333333333337,0.2,0.024440403706431153,PVC
46,0.128,0.448,0.264,0.216,0.1653118265581746,PVC
47,0.216,0.464,0.34,0.34,0.1753624817342638,PVC
48,0.132,5091.1,1697.1533333333334,0.228,2939.2440328147873,PVC
49,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
50,0.24,20.368,3.9160000000000004,0.772,8.062640758461212,PVC
51,0.776,0.784,0.782,0.784,0.0040000000000000036,PVC
