,min,max,mean,med,std,label
0,-100.0,-100.0,-100.0,-100.0,-100.0,N
1,0.819,0.835,0.827,0.827,0.01131370849898477,N
2,0.75,0.799,0.7745,0.7745,0.03464823227814086,N
3,-100.0,-100.0,-100.0,-100.0,-100.0,N
4,-100.0,-100.0,-100.0,-100.0,-100.0,N
5,-100.0,-100.0,-100.0,-100.0,-100.0,N
6,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
7,-100.0,-100.0,-100.0,-100.0,-100.0,N
8,-100.0,-100.0,-100.0,-100.0,-100.0,N
9,-100.0,-100.0,-100.0,-100.0,-100.0,N
10,-100.0,-100.0,-100.0,-100.0,-100.0,N
11,0.719,0.882,0.8005,0.8005,0.11525840533340727,N
12,-100.0,-100.0,-100.0,-100.0,-100.0,N
13,-100.0,-100.0,-100.0,-100.0,-100.0,N
14,-100.0,-100.0,-100.0,-100.0,-100.0,N
15,-100.0,-100.0,-100.0,-100.0,-100.0,N
16,-100.0,-100.0,-100.0,-100.0,-100.0,N
17,-100.0,-100.0,-100.0,-100.0,-100.0,N
18,-100.0,-100.0,-100.0,-100.0,-100.0,N
19,-100.0,-100.0,-100.0,-100.0,-100.0,N
20,0.798,0.802,0.8,0.8,0.0028284271247461927,N
21,-100.0,-100.0,-100.0,-100.0,-100.0,N
22,0.768,0.815,0.7915,0.7915,0.033234018715767685,N
23,-100.0,-100.0,-100.0,-100.0,-100.0,N
24,-100.0,-100.0,-100.0,-100.0,-100.0,N
25,0.846,0.969,0.9075,0.9075,0.08697413408594534,N
26,-100.0,-100.0,-100.0,-100.0,-100.0,N
27,0.698,0.787,0.7424999999999999,0.7424999999999999,0.06293250352560278,N
28,0.698,0.787,0.7424999999999999,0.7424999999999999,0.06293250352560278,N
29,-100.0,-100.0,-100.0,-100.0,-100.0,N
30,-100.0,-100.0,-100.0,-100.0,-100.0,N
31,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
32,0.75,0.799,0.7745,0.7745,0.03464823227814086,N
33,-100.0,-100.0,-100.0,-100.0,-100.0,N
34,-100.0,-100.0,-100.0,-100.0,-100.0,N
35,-100.0,-100.0,-100.0,-100.0,-100.0,N
36,0.779,0.835,0.8069999999999999,0.8069999999999999,0.03959797974644662,N
37,-100.0,-100.0,-100.0,-100.0,-100.0,N
38,0.717,0.8,0.7585,0.7585,0.0586898628384835,N
39,0.78,0.815,0.7975,0.7975,0.024748737341529107,N
40,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
41,-100.0,-100.0,-100.0,-100.0,-100.0,N
42,-100.0,-100.0,-100.0,-100.0,-100.0,N
43,-100.0,-100.0,-100.0,-100.0,-100.0,N
44,0.75,0.799,0.7745,0.7745,0.03464823227814086,N
45,-100.0,-100.0,-100.0,-100.0,-100.0,N
46,0.75,0.799,0.7745,0.7745,0.03464823227814086,N
47,-100.0,-100.0,-100.0,-100.0,-100.0,N
48,0.765,0.787,0.776,0.776,0.01555634918610406,N
49,0.779,0.835,0.8069999999999999,0.8069999999999999,0.03959797974644662,N
50,-100.0,-100.0,-100.0,-100.0,-100.0,N
51,-100.0,-100.0,-100.0,-100.0,-100.0,N
52,0.639,0.911,0.775,0.775,0.19233304448274094,N
53,-100.0,-100.0,-100.0,-100.0,-100.0,N
54,-100.0,-100.0,-100.0,-100.0,-100.0,N
55,0.798,0.802,0.8,0.8,0.0028284271247461927,N
56,-100.0,-100.0,-100.0,-100.0,-100.0,N
57,0.765,0.787,0.776,0.776,0.01555634918610406,N
58,0.798,0.802,0.8,0.8,0.0028284271247461927,N
59,-100.0,-100.0,-100.0,-100.0,-100.0,N
60,0.78,0.815,0.7975,0.7975,0.024748737341529107,N
61,-100.0,-100.0,-100.0,-100.0,-100.0,N
62,0.765,0.787,0.776,0.776,0.01555634918610406,N
63,-100.0,-100.0,-100.0,-100.0,-100.0,N
64,-100.0,-100.0,-100.0,-100.0,-100.0,N
65,-100.0,-100.0,-100.0,-100.0,-100.0,N
66,-100.0,-100.0,-100.0,-100.0,-100.0,N
67,-100.0,-100.0,-100.0,-100.0,-100.0,N
68,-100.0,-100.0,-100.0,-100.0,-100.0,N
69,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
70,0.779,0.835,0.8069999999999999,0.8069999999999999,0.03959797974644662,N
71,-100.0,-100.0,-100.0,-100.0,-100.0,N
72,-100.0,-100.0,-100.0,-100.0,-100.0,N
73,-100.0,-100.0,-100.0,-100.0,-100.0,N
74,-100.0,-100.0,-100.0,-100.0,-100.0,N
75,-100.0,-100.0,-100.0,-100.0,-100.0,N
76,0.717,0.8,0.7585,0.7585,0.0586898628384835,N
77,-100.0,-100.0,-100.0,-100.0,-100.0,N
78,-100.0,-100.0,-100.0,-100.0,-100.0,N
79,-100.0,-100.0,-100.0,-100.0,-100.0,N
80,0.717,0.8,0.7585,0.7585,0.0586898628384835,N
81,0.78,0.815,0.7975,0.7975,0.024748737341529107,N
82,-100.0,-100.0,-100.0,-100.0,-100.0,N
83,-100.0,-100.0,-100.0,-100.0,-100.0,N
84,-100.0,-100.0,-100.0,-100.0,-100.0,N
85,0.78,0.815,0.7975,0.7975,0.024748737341529107,N
86,-100.0,-100.0,-100.0,-100.0,-100.0,N
87,-100.0,-100.0,-100.0,-100.0,-100.0,N
88,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
89,-100.0,-100.0,-100.0,-100.0,-100.0,N
90,0.75,0.902,0.8260000000000001,0.8260000000000001,0.10748023074035525,N
91,-100.0,-100.0,-100.0,-100.0,-100.0,N
92,-100.0,-100.0,-100.0,-100.0,-100.0,N
93,0.75,0.799,0.7745,0.7745,0.03464823227814086,N
94,-100.0,-100.0,-100.0,-100.0,-100.0,N
95,0.717,0.8,0.7585,0.7585,0.0586898628384835,N
96,0.719,0.882,0.8005,0.8005,0.11525840533340727,N
97,-100.0,-100.0,-100.0,-100.0,-100.0,N
98,-100.0,-100.0,-100.0,-100.0,-100.0,N
99,-100.0,-100.0,-100.0,-100.0,-100.0,N
100,-100.0,-100.0,-100.0,-100.0,-100.0,N
101,-100.0,-100.0,-100.0,-100.0,-100.0,N
102,0.765,0.787,0.776,0.776,0.01555634918610406,N
103,0.75,0.799,0.7745,0.7745,0.03464823227814086,N
104,-100.0,-100.0,-100.0,-100.0,-100.0,N
105,0.75,0.799,0.7745,0.7745,0.03464823227814086,N
106,0.798,0.802,0.8,0.8,0.0028284271247461927,N
107,-100.0,-100.0,-100.0,-100.0,-100.0,N
108,-100.0,-100.0,-100.0,-100.0,-100.0,N
109,-100.0,-100.0,-100.0,-100.0,-100.0,N
110,0.78,0.815,0.7975,0.7975,0.024748737341529107,N
111,-100.0,-100.0,-100.0,-100.0,-100.0,N
112,-100.0,-100.0,-100.0,-100.0,-100.0,N
113,-100.0,-100.0,-100.0,-100.0,-100.0,N
114,0.745,0.783,0.764,0.764,0.02687005768508883,N
115,-100.0,-100.0,-100.0,-100.0,-100.0,N
116,-100.0,-100.0,-100.0,-100.0,-100.0,N
117,0.779,0.835,0.8069999999999999,0.8069999999999999,0.03959797974644662,N
118,-100.0,-100.0,-100.0,-100.0,-100.0,N
119,-100.0,-100.0,-100.0,-100.0,-100.0,N
120,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
121,0.819,0.835,0.827,0.827,0.01131370849898477,N
122,-100.0,-100.0,-100.0,-100.0,-100.0,N
123,0.765,0.787,0.776,0.776,0.01555634918610406,N
124,0.717,0.8,0.7585,0.7585,0.0586898628384835,N
125,-100.0,-100.0,-100.0,-100.0,-100.0,N
126,0.78,0.815,0.7975,0.7975,0.024748737341529107,N
127,0.75,0.902,0.8260000000000001,0.8260000000000001,0.10748023074035525,N
128,-100.0,-100.0,-100.0,-100.0,-100.0,N
129,-100.0,-100.0,-100.0,-100.0,-100.0,N
130,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
131,0.765,0.787,0.776,0.776,0.01555634918610406,N
132,-100.0,-100.0,-100.0,-100.0,-100.0,N
133,0.779,0.835,0.8069999999999999,0.8069999999999999,0.03959797974644662,N
134,-100.0,-100.0,-100.0,-100.0,-100.0,N
135,-100.0,-100.0,-100.0,-100.0,-100.0,N
136,0.846,0.969,0.9075,0.9075,0.08697413408594534,N
137,-100.0,-100.0,-100.0,-100.0,-100.0,N
138,-100.0,-100.0,-100.0,-100.0,-100.0,N
139,0.798,0.802,0.8,0.8,0.0028284271247461927,N
140,-100.0,-100.0,-100.0,-100.0,-100.0,N
141,-100.0,-100.0,-100.0,-100.0,-100.0,N
142,-100.0,-100.0,-100.0,-100.0,-100.0,N
143,-100.0,-100.0,-100.0,-100.0,-100.0,N
144,-100.0,-100.0,-100.0,-100.0,-100.0,N
145,0.717,0.866,0.7915,0.7915,0.1053589103967956,N
146,-100.0,-100.0,-100.0,-100.0,-100.0,N
147,-100.0,-100.0,-100.0,-100.0,-100.0,N
148,0.765,0.787,0.776,0.776,0.01555634918610406,N
149,-100.0,-100.0,-100.0,-100.0,-100.0,N
150,0.75,0.902,0.8260000000000001,0.8260000000000001,0.10748023074035525,N
151,0.768,0.815,0.7915,0.7915,0.033234018715767685,N
152,0.717,0.8,0.7585,0.7585,0.0586898628384835,N
153,0.666,0.969,0.8175,0.8175,0.21425335469952386,N
154,-100.0,-100.0,-100.0,-100.0,-100.0,N
