,min,max,mean,med,std,label
0,0.6,1.3,0.95,0.95,0.2173067468400883,PVC
1,0.448,0.824,0.6226666666666667,0.5760000000000001,0.15507761497607145,PVC
2,0.24,0.784,0.648,0.772,0.22216390345868522,PVC
3,0.16,0.276,0.20133333333333334,0.168,0.06478682993736716,PVC
4,0.768,0.784,0.776,0.776,0.0065319726474218145,PVC
5,0.176,0.208,0.192,0.192,0.02262741699796952,PVC
6,0.776,0.792,0.784,0.784,0.0065319726474218145,PVC
7,0.116,0.384,0.22533333333333333,0.176,0.14064612804245033,PVC
8,0.6,1.1,0.89,0.9,0.1523883926754995,PVC
9,0.6,1.6,1.125,1.2000000000000002,0.3195979617313871,PVC
10,0.8,1.5,1.0555555555555556,1.0,0.2403700850309326,PVC
11,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
12,0.104,0.344,0.25866666666666666,0.328,0.13418395333769734,PVC
13,0.068,0.252,0.156,0.152,0.078655366420014,PVC
14,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
15,0.072,0.432,0.2853333333333333,0.352,0.18903262505010432,PVC
16,-31839.066,1.6,-4547.731714285714,0.7,12034.347257735497,PVC
17,0.184,0.232,0.20533333333333334,0.2,0.024440403706431153,PVC
18,0.2,0.516,0.358,0.358,0.22344574285494903,PVC
19,0.336,0.816,0.632,0.672,0.19530488985173922,PVC
20,0.128,0.448,0.264,0.216,0.1653118265581746,PVC
21,0.6,1.5,0.94,0.9,0.3204163957519444,PVC
22,0.06,0.176,0.09866666666666667,0.06,0.06697263122599659,PVC
23,0.112,0.396,0.25333333333333335,0.252,0.14200469475807248,PVC
24,0.088,0.584,0.2786666666666667,0.164,0.26714290807231494,PVC
25,0.7,1.6,1.125,1.05,0.276457178290909,PVC
26,0.8,29682.73,14841.765,14841.765,20988.29398170442,PVC
27,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
28,0.6,1.6,0.97,0.95,0.266874918683308,PVC
29,0.228,0.26,0.24666666666666667,0.252,0.01665332799572906,PVC
30,0.06,0.308,0.204,0.22399999999999998,0.10466454350288194,PVC
31,0.072,0.224,0.11699999999999999,0.086,0.07210177991330496,PVC
32,0.7,1.2,0.89,0.85,0.2078995483935024,PVC
33,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
34,0.168,0.248,0.208,0.208,0.039999999999999994,PVC
35,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
36,0.7,1.3,1.0444444444444445,1.1,0.18104634152000362,PVC
37,0.2,0.528,0.364,0.364,0.2319310242291876,PVC
38,0.56,10.328,2.6304,0.792,4.304347197891917,PVC
39,0.092,0.432,0.212,0.112,0.1907878402833891,PVC
40,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
41,0.264,0.816,0.49028571428571427,0.448,0.1794637514798966,PVC
42,0.7,1.7,1.0666666666666667,0.9,0.3201562118716424,PVC
43,0.176,0.24,0.216,0.232,0.034871191548325395,PVC
44,0.076,0.228,0.152,0.152,0.10748023074035523,PVC
45,0.7,1.5,1.1,1.15,0.29277002188455997,PVC
46,0.24,0.792,0.68,0.792,0.24599186978434878,PVC
47,0.188,0.452,0.2786666666666667,0.196,0.1501643544032116,PVC
48,0.076,0.304,0.1424,0.088,0.09726664381996533,PVC
49,0.8,1.4,1.0777777777777777,1.0,0.19220937657784656,PVC
50,0.6,1.4,0.8272727272727273,0.8,0.21489955370316194,PVC
51,0.136,0.56,0.316,0.252,0.21912553479683744,PVC
52,0.36,0.792,0.6224,0.696,0.1932790728454584,PVC
53,0.12,0.416,0.28933333333333333,0.332,0.15254289014350467,PVC
54,0.296,0.488,0.392,0.392,0.13576450198781712,PVC
55,0.776,0.8,0.788,0.788,0.010327955589886454,PVC
56,0.536,0.792,0.7344,0.784,0.11105314043285765,PVC
57,0.784,0.792,0.786,0.784,0.0040000000000000036,PVC
58,0.8,1.5,1.0444444444444445,1.0,0.25055493963954845,PVC
59,0.9,1.5,1.1375,1.1,0.2263846284534354,PVC
60,0.9,1.4,1.1125,1.1,0.1885091888628092,PVC
61,0.096,0.228,0.14266666666666666,0.104,0.07400900846068223,PVC
62,0.7,1.4,1.0333333333333334,0.9,0.25,PVC
63,0.256,0.792,0.524,0.492,0.22879160823771488,PVC
64,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
65,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
66,0.784,0.784,0.784,0.784,0.0,PVC
67,0.144,0.296,0.23199999999999998,0.256,0.07879086241436883,PVC
68,0.9,1.6,1.0555555555555556,1.0,0.22422706745122853,PVC
69,0.784,0.792,0.786,0.784,0.0040000000000000036,PVC
70,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
71,0.208,0.42,0.284,0.224,0.11805083650698964,PVC
72,0.7,1.3,0.91,0.8500000000000001,0.17919573407620817,PVC
73,0.24,0.424,0.33199999999999996,0.33199999999999996,0.13010764773832473,PVC
74,0.5,1.5,0.8909090909090909,0.9,0.28793938756115134,PVC
75,0.576,0.792,0.744,0.784,0.09397872099576587,PVC
76,0.784,0.792,0.786,0.784,0.0040000000000000036,PVC
77,0.132,5091.1,1697.1533333333334,0.228,2939.2440328147873,PVC
78,0.264,0.524,0.394,0.394,0.18384776310850237,PVC
