,min,max,mean,med,std,label
0,0.448,0.824,0.6226666666666667,0.5760000000000001,0.15507761497607145,PVC
1,0.536,0.792,0.7344,0.784,0.11105314043285765,PVC
2,0.576,0.792,0.744,0.784,0.09397872099576587,PVC
3,0.776,0.792,0.784,0.784,0.0065319726474218145,PVC
4,0.36,0.792,0.6224,0.696,0.1932790728454584,PVC
5,0.24,0.784,0.648,0.772,0.22216390345868522,PVC
6,0.776,0.784,0.782,0.784,0.0040000000000000036,PVC
7,0.784,0.784,0.784,0.784,0.0,PVC
8,0.776,0.8,0.788,0.788,0.010327955589886454,PVC
9,0.24,20.368,3.916,0.772,8.062640758461212,PVC
10,0.768,0.784,0.776,0.776,0.0065319726474218145,PVC
11,0.56,10.328,2.6304,0.792,4.304347197891917,PVC
