,min,max,mean,med,std,label
0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
1,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF
2,-100.0,-100.0,-100.0,-100.0,-100.0,AF
3,-100.0,-100.0,-100.0,-100.0,-100.0,AF
4,-100.0,-100.0,-100.0,-100.0,-100.0,AF
5,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
6,-100.0,-100.0,-100.0,-100.0,-100.0,AF
7,-100.0,-100.0,-100.0,-100.0,-100.0,AF
8,-100.0,-100.0,-100.0,-100.0,-100.0,AF
9,-100.0,-100.0,-100.0,-100.0,-100.0,AF
10,-100.0,-100.0,-100.0,-100.0,-100.0,AF
11,-100.0,-100.0,-100.0,-100.0,-100.0,AF
12,0.818,1.016,0.917,0.917,0.14000714267493644,AF
13,-31839.066,1.6,-4547.731714285714,0.7,12034.347257735497,PVC
14,-100.0,-100.0,-100.0,-100.0,-100.0,AF
15,0.6,0.8,0.7,0.7,0.14142135623730953,AF
16,0.7,0.8,0.75,0.75,0.07071067811865482,AF
17,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
18,0.6,0.6,0.6,0.6,0.0,AF
19,-100.0,-100.0,-100.0,-100.0,-100.0,AF
20,0.8,0.8,0.8,0.8,0.0,AF
21,-100.0,-100.0,-100.0,-100.0,-100.0,AF
22,0.8,1.4,1.0777777777777777,1.0,0.2333333333333333,PVC
23,0.7,0.7,0.7,0.7,0.0,AF
24,-100.0,-100.0,-100.0,-100.0,-100.0,AF
25,-100.0,-100.0,-100.0,-100.0,-100.0,AF
26,-100.0,-100.0,-100.0,-100.0,-100.0,AF
27,-100.0,-100.0,-100.0,-100.0,-100.0,AF
28,-100.0,-100.0,-100.0,-100.0,-100.0,AF
29,0.667,0.999,0.833,0.833,0.23475945135393375,AF
30,-100.0,-100.0,-100.0,-100.0,-100.0,AF
31,-100.0,-100.0,-100.0,-100.0,-100.0,AF
32,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
33,-100.0,-100.0,-100.0,-100.0,-100.0,AF
34,0.6,0.8,0.7,0.7,0.14142135623730953,AF
35,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
36,-100.0,-100.0,-100.0,-100.0,-100.0,AF
37,-100.0,-100.0,-100.0,-100.0,-100.0,AF
38,0.6,1.6,0.97,0.95,0.266874918683308,PVC
39,-100.0,-100.0,-100.0,-100.0,-100.0,AF
40,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
41,0.8,1.4,1.0777777777777777,1.0,0.19220937657784656,PVC
42,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
43,-100.0,-100.0,-100.0,-100.0,-100.0,AF
44,0.156,0.424,0.2826666666666667,0.268,0.1346006438815704,PVC
45,-100.0,-100.0,-100.0,-100.0,-100.0,AF
46,-100.0,-100.0,-100.0,-100.0,-100.0,AF
47,0.7,0.8,0.75,0.75,0.07071067811865482,AF
48,0.6,0.8,0.7,0.7,0.14142135623730953,AF
49,-100.0,-100.0,-100.0,-100.0,-100.0,AF
50,-100.0,-100.0,-100.0,-100.0,-100.0,AF
51,0.5,1.5,0.8909090909090909,0.9,0.28793938756115134,PVC
52,0.7,0.7,0.7,0.7,0.0,AF
53,0.7,0.7,0.7,0.7,0.0,AF
54,0.731,1.086,0.9085000000000001,0.9085000000000001,0.2510229073212244,AF
55,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
56,-100.0,-100.0,-100.0,-100.0,-100.0,AF
57,0.7,0.8,0.75,0.75,0.07071067811865482,AF
58,0.7,0.7,0.7,0.7,0.0,AF
59,-100.0,-100.0,-100.0,-100.0,-100.0,AF
60,0.7,0.8,0.75,0.75,0.07071067811865482,AF
61,0.7,1.0,0.85,0.85,0.21213203435596428,AF
62,0.7,1.0,0.85,0.85,0.21213203435596428,AF
63,0.7,0.9,0.8,0.8,0.14142135623730953,AF
64,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF
65,-100.0,-100.0,-100.0,-100.0,-100.0,AF
66,-100.0,-100.0,-100.0,-100.0,-100.0,AF
67,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
68,-100.0,-100.0,-100.0,-100.0,-100.0,N
69,0.2,0.516,0.358,0.358,0.22344574285494903,PVC
70,-100.0,-100.0,-100.0,-100.0,-100.0,AF
71,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
72,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF
73,-100.0,-100.0,-100.0,-100.0,-100.0,AF
74,-100.0,-100.0,-100.0,-100.0,-100.0,AF
75,0.798,0.802,0.8,0.8,0.0028284271247461927,N
76,0.6,1.0,0.8,0.8,0.282842712474619,AF
77,0.7,0.8,0.75,0.75,0.07071067811865482,AF
78,-100.0,-100.0,-100.0,-100.0,-100.0,AF
79,-100.0,-100.0,-100.0,-100.0,-100.0,AF
