,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,0,0,-5.685010660017573,AF
1,1.0,1.0,0.7,0.7,0.7,0.7,0.0,AF,1,1,-6.847205641356976,AF
2,2.0,2.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,2,2,-7.752456852135555,AF
3,3.0,3.0,0.7,0.9,0.8,0.8,0.1414213562373095,AF,3,3,,AF
4,4.0,4.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,4,4,-7.2180542534745635,AF
5,5.0,5.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,5,5,-7.510898366962352,AF
6,6.0,6.0,0.7,0.7,0.7,0.7,0.0,AF,6,6,-6.870501448124935,AF
7,7.0,7.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,7,7,-7.422121023517405,AF
8,8.0,8.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,8,8,-6.006432945633333,AF
9,9.0,9.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,9,9,-6.778067256865575,AF
10,10.0,10.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,10,10,-7.848880768687175,AF
11,11.0,11.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,11,11,-6.9823675592572485,AF
12,12.0,12.0,0.851,0.965,0.908,0.908,0.0806101730552664,AF,12,12,-7.3162090600333505,AF
13,13.0,13.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,13,13,-7.711698019859595,AF
14,14.0,14.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,14,14,-7.291880877068767,AF
15,15.0,15.0,0.7,0.7,0.7,0.7,0.0,AF,15,15,-7.444327723472,AF
16,16.0,16.0,0.8,0.8,0.8,0.8,0.0,AF,16,16,-6.782955135070246,AF
17,17.0,17.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,17,17,-6.725432695891269,AF
18,18.0,18.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,18,18,-6.779350327277272,AF
19,19.0,19.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,19,19,-5.898611551444822,AF
20,20.0,20.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,20,20,-7.017582178385889,AF
21,21.0,21.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,21,21,-7.161239644003527,AF
22,22.0,22.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,22,22,-7.224845158729395,AF
23,23.0,23.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,23,23,-6.9964492463469625,AF
24,24.0,24.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,24,24,-7.435392309991888,AF
25,25.0,25.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,25,25,-7.66250563746364,AF
26,26.0,26.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,26,26,-7.323015860482211,AF
27,27.0,27.0,0.7,0.7,0.7,0.7,0.0,AF,27,27,-8.15969476161013,AF
28,28.0,28.0,0.8,1.0,0.9,0.9,0.1414213562373094,AF,28,28,-6.249067505514188,AF
29,29.0,29.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,29,29,-7.066645369454745,AF
30,30.0,30.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,30,30,-6.393272041573565,AF
31,31.0,31.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,31,31,-6.4635444828951485,AF
32,32.0,32.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,32,32,-6.906310005068418,AF
33,33.0,33.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,33,33,-7.187848744064277,AF
34,34.0,34.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,34,34,-6.906664661105844,AF
35,35.0,35.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,35,35,-6.976838194802523,AF
36,36.0,36.0,0.7,0.7,0.7,0.7,0.0,AF,36,36,-7.37297414046835,AF
