,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,0,0,-5.685010660017572,AF
1,1.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF,1,1,-6.847205641356976,AF
2,2.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,2,2,-7.752456852135555,AF
3,3.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,3,3,,AF
4,4.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,4,4,-7.2180542534745635,AF
5,5.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,5,5,-7.510898366962353,AF
6,6.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,6,6,-6.870501448124935,AF
7,7.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,7,7,-7.422121023517405,AF
8,8.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,8,8,-6.006432945633332,AF
9,9.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,9,9,-6.778067256865575,AF
10,10.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,10,10,-7.848880768687175,AF
11,11.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,11,11,-6.9823675592572485,AF
12,12.0,0.818,1.016,0.917,0.917,0.14000714267493644,AF,12,12,-7.3162090600333505,AF
13,13.0,-31839.066000000003,1.6,-4547.731714285714,0.7,12034.347257735495,PVC,13,13,-7.711698019859595,AF
14,14.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,14,14,-7.291880877068768,AF
15,15.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,15,15,-7.444327723472,AF
16,16.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,16,16,-6.782955135070248,AF
17,17.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,17,17,-6.725432695891269,AF
18,18.0,0.6,0.6,0.6,0.6,0.0,AF,18,18,-6.779350327277273,AF
19,19.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,19,19,-5.898611551444823,AF
20,20.0,0.8,0.8,0.8,0.8,0.0,AF,20,20,-7.017582178385887,AF
21,21.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,21,21,-7.161239644003527,AF
22,22.0,0.8,1.4,1.0777777777777775,1.0,0.2333333333333333,PVC,22,22,-7.224845158729393,AF
23,23.0,0.7,0.7,0.7,0.7,0.0,AF,23,23,-6.9964492463469625,AF
24,24.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,24,24,-7.435392309991887,AF
25,25.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,25,25,-7.662505637463639,AF
26,26.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,26,26,-7.3230158604822115,AF
27,27.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,27,27,-8.15969476161013,AF
28,28.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,28,28,-6.249067505514188,AF
29,29.0,0.667,0.9990000000000001,0.833,0.833,0.2347594513539337,AF,29,29,-7.066645369454745,AF
30,30.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,30,30,-6.393272041573565,AF
31,31.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,31,31,-6.4635444828951485,AF
32,32.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,32,32,-6.906310005068418,AF
33,33.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,33,33,-7.1878487440642775,AF
34,34.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,34,34,-6.906664661105844,AF
35,35.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,35,35,-6.976838194802522,AF
36,36.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,36,36,-7.372974140468348,AF
37,37.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,37,37,-6.679056598893252,AF
38,38.0,0.6,1.6,0.97,0.95,0.26687491868330804,PVC,38,38,-7.4933986174001435,AF
39,39.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,39,39,-6.9564917506560935,AF
40,40.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,40,40,,AF
41,41.0,0.8,1.4,1.0777777777777775,1.0,0.19220937657784656,PVC,41,41,-6.848868051077418,AF
42,42.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,42,42,-7.932654146630287,AF
43,43.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,43,43,-7.336792240091096,AF
44,44.0,0.156,0.424,0.2826666666666667,0.268,0.1346006438815704,PVC,44,44,-8.181967309204786,AF
45,45.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,45,45,-6.782190253672995,AF
